edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,temperance_closure_cluster,temperance_closure_focus
edge.concept.adams_first_sin.case_of.concept.pride,concept.adams_first_sin,Adam's First Sin,doctrine,case_of,concept.pride,Pride,vice,['ann.concept-adams-first-sin-case-of-concept-pride-st-ii-ii-q163-a001-resp'],['st.ii-ii.q163.a001.resp'],['explicit_textual'],"[""od above his measure: and this pertains to pride . Therefore it is evident that man's first sin was pride .""]",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.directed_to.concept.divine_likeness,concept.adams_first_sin,Adam's First Sin,doctrine,directed_to,concept.divine_likeness,Divine Likeness,doctrine,['ann.concept-adams-first-sin-directed-to-concept-divine-likeness-st-ii-ii-q163-a002-resp'],['st.ii-ii.q163.a002.resp'],['explicit_textual'],"[""good above his measure, as stated in the foregoing Article, it follows that he coveted God's likeness inordinately. It must, however, be observed that the proper object of the appetite is a thing not possessed. Now spiritual good , in so far as the rational creature participates in the Divine""]",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.directed_to.concept.knowledge_good_and_evil,concept.adams_first_sin,Adam's First Sin,doctrine,directed_to,concept.knowledge_good_and_evil,Knowledge of Good and Evil,doctrine,['ann.concept-adams-first-sin-directed-to-concept-knowledge-good-and-evil-st-ii-ii-q163-a002-resp'],['st.ii-ii.q163.a002.resp'],['explicit_textual'],"['ture . But the first man sinned chiefly by coveting God\'s likeness as regards "" knowledge of good and evil ,"" according to the serpent\'s instigation, namely that by his own natural power he might decide what was good , and what was evil for him to do; or again that he should of himself']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.results_in_punishment.concept.bodily_defects_first_sin,concept.adams_first_sin,Adam's First Sin,doctrine,results_in_punishment,concept.bodily_defects_first_sin,Bodily Defects (Punishments of the First Sin),doctrine,['ann.concept-adams-first-sin-results-in-punishment-concept-bodily-defects-first-sin-st-ii-ii-q164-a001-resp'],['st.ii-ii.q164.a001.resp'],['explicit_textual'],"[""ct to its perfection. Consequently, on the other hand, death, sickness, and all defects of the body are due to the lack of the body's subjection to the soul . It is therefore evident that as the rebellion of the carnal appetite against the spirit is a punishment of our first par""]",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.results_in_punishment.concept.death_first_sin,concept.adams_first_sin,Adam's First Sin,doctrine,results_in_punishment,concept.death_first_sin,Death (Punishment of the First Sin),doctrine,['ann.concept-adams-first-sin-results-in-punishment-concept-death-first-sin-st-ii-ii-q164-a001-resp'],['st.ii-ii.q164.a001.resp'],['explicit_textual'],"['against the reason: nor was the body wholly subject to the soul ; whence arose death and other bodily defects. For life and soundness of body depend on the body being subject to the soul , as the perfectible is subject to its perfection. Consequently, on the other']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.results_in_punishment.concept.loss_of_paradise,concept.adams_first_sin,Adam's First Sin,doctrine,results_in_punishment,concept.loss_of_paradise,Loss of Paradise,doctrine,['ann.concept-adams-first-sin-results-in-punishment-concept-loss-of-paradise-st-ii-ii-q164-a002-resp'],['st.ii-ii.q164.a002.resp'],['explicit_textual'],"['paradise : and this is indicated ( Genesis 3:23 ) where it is stated that "" God sent him out of the paradise of pleasure."" And since he was unable, of himself, to return to that state of original innocence, it was fitting that obstacles should be placed against his recovering those thing']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.results_in_punishment.concept.rebellion_of_carnal_appetite,concept.adams_first_sin,Adam's First Sin,doctrine,results_in_punishment,concept.rebellion_of_carnal_appetite,Rebellion of the Carnal Appetite,doctrine,['ann.concept-adams-first-sin-results-in-punishment-concept-rebellion-of-carnal-appetite-st-ii-ii-q164-a001-resp'],['st.ii-ii.q164.a001.resp'],['explicit_textual'],"['is lower powers wholly subject to his reason , whence there followed so great a rebellion of the carnal appetite against the reason: nor was the body wholly subject to the soul ; whence arose death and other bodily defects. For life and soundness of body depend on the body being subject to t']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.adams_first_sin.tempted_by.concept.first_parents_temptation,concept.adams_first_sin,Adam's First Sin,doctrine,tempted_by,concept.first_parents_temptation,Temptation of the First Parents,doctrine,['ann.concept-adams-first-sin-tempted-by-concept-first-parents-temptation-st-ii-ii-q165-a002-resp'],['st.ii-ii.q165.a002.resp'],['explicit_textual'],"[', intellective and sensitive. Hence the devil , in tempting man , made use of a twofold incentive to sin : one on the part of the intellect , by promising the Divine likeness through the acquisition of knowledge which man naturally desires to have; the other on the part of sense. Thi']",reviewed_doctrinal,adams_first_sin,"['adam_case', 'adams_first_sin']"
edge.concept.boorishness.deficiency_opposed_to.concept.eutrapelia,concept.boorishness,Boorishness / Rudeness,vice,deficiency_opposed_to,concept.eutrapelia,Wittiness / Eutrapelia,virtue,['ann.concept-boorishness-deficiency-opposed-to-concept-eutrapelia-st-ii-ii-q168-a004-resp'],['st.ii-ii.q168.a004.resp'],['explicit_textual'],"['the moderate mirth of others. Consequently they are vicious, and are said to be boorish or rude, as the Philosopher states (Ethic. iv, 8). Since, however, mirth is useful for the sake of the rest and pleasures it affords; and since, in human life, pleasure and rest are not i']",reviewed_doctrinal,external_modesty,"['external_behavior', 'external_modesty']"
edge.concept.curiosity.concerns_ordered_inquiry.concept.disordered_inquiry,concept.curiosity,Curiosity,vice,concerns_ordered_inquiry,concept.disordered_inquiry,Disordered Inquiry,domain,['ann.concept-curiosity-concerns-ordered-inquiry-concept-disordered-inquiry-st-ii-ii-q167-a001-resp'],['st.ii-ii.q167.a001.resp'],['explicit_textual'],"['d to commit iniquity ."" Secondly, there may be sin by reason of the appetite or study directed to the learning of truth being itself inordinate; and this in four ways. First, when a man is withdrawn by a less profitable study from a study that is an obligation incumbent on him; hence Jerome says [Epist. xxi ad Damas]: ""We']",reviewed_doctrinal,study_curiosity,['study_curiosity']
edge.concept.curiosity.contrary_to.concept.studiousness,concept.curiosity,Curiosity,vice,contrary_to,concept.studiousness,Studiousness,virtue,['ann.concept-curiosity-contrary-to-concept-studiousness-st-ii-ii-q167-a001-resp'],['st.ii-ii.q167.a001.resp'],['explicit_textual'],"['As stated above ( II-II:166:2 ad 2 ) studiousness is directly, not about knowledge itself, but about the desire and study in the pursuit of knowledge . Now we must judge differently of the knowledge itself of truth , and of the desire and st']",reviewed_doctrinal,study_curiosity,['study_curiosity']
edge.concept.curiosity.species_of.concept.vice,concept.curiosity,Curiosity,vice,species_of,concept.vice,Vice,vice,['ann.concept-curiosity-species-of-concept-vice-st-ii-ii-q167-a001-resp'],['st.ii-ii.q167.a001.resp'],['explicit_textual'],"['ike manner, those who study to learn something in order to sin are engaged in a sinful study, according to the saying of Jeremiah 9:5 , ""They have taught their tongue to speak lies, they have labored to commit iniquity ."" Secondly, there may be sin by reason of the appeti']",reviewed_doctrinal,study_curiosity,['study_curiosity']
edge.concept.eutrapelia.concerns_external_behavior.concept.playful_actions,concept.eutrapelia,Wittiness / Eutrapelia,virtue,concerns_external_behavior,concept.playful_actions,Playful Actions,act_type,['ann.concept-eutrapelia-concerns-external-behavior-concept-playful-actions-st-ii-ii-q168-a002-resp'],['st.ii-ii.q168.a002.resp'],['explicit_textual'],"[""or deeds wherein nothing further is sought than the soul's delight, are called playful or humorous. Hence it is necessary at times to make use of them, in order to give rest, as it were, to the soul . This is in agreement with the statement of the Philosopher (Ethic. iv, 8) tha""]",reviewed_doctrinal,external_modesty,"['external_behavior', 'external_modesty']"
