node_id,label,node_type,registry_status,description,notes
concept.ambition,Ambition,vice,reviewed_seed,Inordinate desire of honor opposed to well-ordered magnanimity.,
concept.confidence,Confidence,act_type,reviewed_seed,A strength of hope that the magnanimous person has in difficult good.,
concept.fortitude,Fortitude,virtue,seed,The cardinal virtue governing firmness in difficulties and dangers.,
concept.glory,Glory,domain,reviewed_seed,The manifest approval or public clarity of someone's good in the sight of others.,
concept.goods_of_fortune,Goods of Fortune,domain,reviewed_seed,"External goods such as riches, power, and friends that can instrumentally conduce to magnanimity.",
concept.great_expenditure,Great Expenditure,domain,reviewed_seed,The scale of spending proportionate to a great work in the magnificence tract.,
concept.great_work,Great Work,object,reviewed_seed,The kind of work whose becoming execution and proportionate expense belong to magnificence.,
concept.honor_recognition,Honor as Recognition,domain,reviewed_seed,"Honor considered as public recognition or attestation of excellence, especially as the matter of magnanimity.",
concept.magnanimity,Magnanimity,virtue,reviewed_seed,The fortitude-related virtue by which a person deems himself worthy of great honors and great things in due proportion.,Keep distinct from magnificence: magnanimity is honor- and worthiness-related rather than expenditure-related.
concept.magnificence,Magnificence,virtue,reviewed_seed,The fortitude-related virtue of producing great works with proportionate expenditure.,"Keep distinct from magnanimity: magnificence concerns great works and expenditure, not honor as such."
concept.meanness_magnificence,Meanness,vice,reviewed_seed,"The vice of spending less than a great work requires, thereby failing proportion.",
concept.presumption_magnanimity,Presumption (Against Magnanimity),vice,reviewed_seed,The vice of exceeding one's own ability by attempting what is above one's power in the magnanimity tract.,
concept.pusillanimity,Pusillanimity,vice,reviewed_seed,The vice of shrinking from great things proportionate to one's worth.,
concept.security_assurance,Security / Assurance,act_type,reviewed_seed,Freedom from fear considered in relation to magnanimity and fortitude.,
concept.sin,Sin,sin_type,reviewed_seed,Bad human act contrary to due rule and measure.,
concept.vainglory,Vainglory,vice,reviewed_seed,"Inordinate desire for empty glory, opposed in this tract to magnanimity's right use of honor and glory.",
concept.vice,Vice,vice,reviewed_seed,Vice considered as privative disorder contrary to virtue.,
concept.virtue,Virtue,virtue,reviewed_seed,Generic virtue as good operative perfection.,Do not collapse generic virtue into a specific virtue without explicit passage support.
concept.waste_magnificence,Waste (Banausia / Consumptio),vice,reviewed_seed,"The vice of spending more than a work requires, thereby exceeding due proportion in the magnificence tract.",
concept.worthiness,Worthiness,doctrine,reviewed_seed,Proportionate worth or desert in relation to great things and great honors.,
st.ii-ii.q129,II-II q.129,question,structural,Magnanimity,
st.ii-ii.q129.a001,II-II q.129 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a002,II-II q.129 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a003,II-II q.129 a.3,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a004,II-II q.129 a.4,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a005,II-II q.129 a.5,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a006,II-II q.129 a.6,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a007,II-II q.129 a.7,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q129.a008,II-II q.129 a.8,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q130,II-II q.130,question,structural,Presumption,
st.ii-ii.q130.a001,II-II q.130 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q130.a002,II-II q.130 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q131,II-II q.131,question,structural,Ambition,
st.ii-ii.q131.a001,II-II q.131 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q131.a002,II-II q.131 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132,II-II q.132,question,structural,Vainglory,
st.ii-ii.q132.a001,II-II q.132 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a002,II-II q.132 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a003,II-II q.132 a.3,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a004,II-II q.132 a.4,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q132.a005,II-II q.132 a.5,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q133,II-II q.133,question,structural,Pusillanimity,
st.ii-ii.q133.a001,II-II q.133 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q133.a002,II-II q.133 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134,II-II q.134,question,structural,Magnificence,
st.ii-ii.q134.a001,II-II q.134 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134.a002,II-II q.134 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134.a003,II-II q.134 a.3,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q134.a004,II-II q.134 a.4,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q135,II-II q.135,question,structural,Meanness,
st.ii-ii.q135.a001,II-II q.135 a.1,article,structural,Structural article node for the fortitude parts 129-135 tract.,
st.ii-ii.q135.a002,II-II q.135 a.2,article,structural,Structural article node for the fortitude parts 129-135 tract.,
