node_id,label,node_type,review_status,part_taxonomy,description,disambiguation_note
concept.caution,Caution,prudence_part,approved,integral,Integral part of prudence avoiding evils mixed with apparent goods.,
concept.circumspection,Circumspection,prudence_part,approved,integral,Integral part of prudence attending to relevant circumstances.,
concept.command,Command,act,approved,,The principal act of prudence in commanding action.,
concept.common_good,Common Good,end,approved,,The communal end to which public prudence is ordered.,
concept.counsel_gift,Gift of Counsel,gift_holy_spirit,approved,,The corresponding gift of the Holy Ghost perfecting prudence.,Keep distinct from counsel as an act of deliberation.
concept.covetousness,Covetousness,vice,approved,,Vice named as the chief origin of counterfeit prudence-like forms in Q55 a8.,
concept.craftiness,Craftiness,vice,approved,,Counterfeit prudence using fictitious or counterfeit means.,
concept.docility,Docility,prudence_part,approved,integral,Integral part of prudence disposing a person to learn from others.,
concept.domestic_prudence,Domestic Prudence,prudence_part,approved,subjective,Subjective part of prudence governing the household.,The source title uses 'domestic economy'; the normalized concept remains Domestic Prudence.
concept.euboulia,Euboulia,prudence_part,approved,potential,Potential part of prudence concerned with good counsel.,Keep the transliterated term because the tract names it directly.
concept.false_prudence,False Prudence,vice,approved,,A prudence-like likeness directed to an apparent good rather than true good.,Keep distinct from craftiness and prudence of the flesh.
concept.foresight,Foresight,prudence_part,approved,integral,Integral part of prudence ordering means fittingly to the end.,
concept.fraud,Fraud,vice,approved,,Execution of craftiness more properly by deeds.,
concept.future_solicitude,Solicitude about the Future,defect,approved,,Needlessly forestalling solicitude proper to a future time.,Keep distinct from lawful prudential foresight.
concept.gnome,Gnome,prudence_part,approved,potential,Potential part of prudence judging according to higher principles in exceptional cases.,Keep separate from synesis and from prudence generally.
concept.guile,Guile,vice,approved,,Execution of craftiness in words or deeds.,"Keep distinct from fraud, which is more properly by deeds."
concept.imprudence,Imprudence,vice,approved,,Vice opposed to prudence through lack or contrary movement of reason.,
concept.inconstancy,Inconstancy,defect,approved,,Defect of command withdrawing from a good purpose.,
concept.intelligence,Understanding or Intelligence,prudence_part,approved,integral,Integral part of prudence concerning right estimate of first practical principles.,Do not collapse into the distinct gift of understanding from elsewhere in the corpus.
concept.lust,Lust,vice,approved,,Vice named as chief origin of defects of prudence in Q53 a6.,
concept.memory,Memory,prudence_part,approved,integral,Integral part of prudence concerning past experience.,
concept.mercy_beatitude,Beatitude of Mercy,beatitude,approved,,The fifth beatitude associated here with the gift of counsel.,
concept.military_prudence,Military Prudence,prudence_part,approved,subjective,Subjective part of prudence repelling hostile attacks for the common good.,
concept.negligence,Negligence,defect,approved,,Lack of due solicitude treated as pertaining to imprudence.,
concept.political_prudence,Political Prudence,prudence_part,approved,subjective,Subjective part of prudence in subjects directing themselves in obedience.,Article 50.2 uses the title 'political economy' in this edition; normalize the concept label as Political Prudence.
concept.practical_reason,Practical Reason,faculty,approved,,Reason as ordered to action and counsel.,Do not collapse into reason_faculty when the tract is specifically distinguishing practical from speculative reason.
concept.precipitation,Precipitation or Temerity,defect,approved,,Defect of counsel contained under imprudence.,
concept.prudence,Prudence,virtue,approved,,The cardinal virtue of right practical reason in things to be done.,
concept.prudence_of_flesh,Prudence of the Flesh,vice,approved,,Counterfeit prudence that treats bodily goods as the last end of life.,Keep distinct from false prudence and from craftiness.
concept.reason_faculty,Reason,faculty,approved,,The rational cognitive faculty in which prudence is located.,"Keep distinct from Reasoning, the integral part of prudence in Q49 a5."
concept.reasoning,Reasoning,prudence_part,approved,integral,Integral part of prudence in comparing one thing with another during counsel.,"Distinguish from reason_faculty, the cognitive power in which prudence resides."
concept.regnative_prudence,Regnative Prudence,prudence_part,approved,subjective,Subjective part of prudence belonging to rulers of a city or kingdom.,
concept.shrewdness,Shrewdness,prudence_part,approved,integral,Integral part of prudence signifying apt discovery of the fitting course.,The source sometimes glosses this through eustochia; keep the prudence-part label stable.
concept.solicitude,Solicitude,act,approved,,Prompt practical watchfulness treated as belonging to prudence.,Keep separate from unlawful solicitude about temporal or future things in Q55.
concept.synesis,Synesis,prudence_part,approved,potential,Potential part of prudence concerned with good judgment under common law.,Keep separate from gnome.
concept.temporal_solicitude,Solicitude about Temporal Things,defect,approved,,Unlawful solicitude seeking temporal things as end or with undue anxiety.,Keep distinct from solicitude as a prudential act in Q47 a9.
concept.thoughtlessness,Thoughtlessness,defect,approved,,Defect of right judgment treated under imprudence.,
taxonomy.counterfeit_prudence,Counterfeit Prudence Forms,taxonomy,approved,,Editorial grouping node for prudence-like but misdirected forms.,
taxonomy.gift_of_counsel,Gift of Counsel Tract,taxonomy,approved,,Editorial grouping node for the gift of counsel material.,
taxonomy.integral_parts_prudence,Integral Parts of Prudence,taxonomy,approved,,Editorial grouping node for prudence's integral parts.,
taxonomy.potential_parts_prudence,Potential Parts of Prudence,taxonomy,approved,,Editorial grouping node for prudence's potential parts.,
