node_id,label,node_type,registry_status,description,notes
concept.adams_first_sin,Adam's First Sin,doctrine,reviewed_seed,"The tract-local doctrinal case of the first sin of the first man, treated under pride without collapsing into the generic vice node.",
concept.adultery_lust,Adultery,sin_type,reviewed_seed,Adultery as treated within the species of lust in q.154.,
concept.anger_vice,Anger (Vice-Level),vice,reviewed_seed,Anger insofar as it becomes sinful by setting aside the order of reason.,
concept.bodily_defects_first_sin,Bodily Defects (Punishments of the First Sin),doctrine,reviewed_seed,"Bodily corruption, sickness, and defect as punishments following the loss of original integrity.",
concept.boorishness,Boorishness / Rudeness,vice,reviewed_seed,The vice of deficient playfulness that makes a person burdensome to others in ordinary intercourse.,
concept.curiosity,Curiosity,vice,reviewed_seed,"Disordered pursuit of knowledge or inquiry, opposed to studiousness in this temperance tract.",
concept.death_first_sin,Death (Punishment of the First Sin),doctrine,reviewed_seed,Death as the common punishment flowing from the first sin.,
concept.decalogue,Decalogue,precept,seed,The principal set of precepts delivered in the Old Law.,
concept.disordered_inquiry,Disordered Inquiry,domain,reviewed_seed,The inordinate study or pursuit of knowledge treated under curiosity.,
concept.divine_likeness,Divine Likeness,doctrine,reviewed_seed,The likeness to God that the first man inordinately coveted beyond due measure.,
concept.eutrapelia,Wittiness / Eutrapelia,virtue,reviewed_seed,The virtue governing games and playful actions according to reason as part of external modesty.,
concept.excessive_adornment,Excessive Adornment,vice,reviewed_seed,"Immoderate attention to outward apparel seeking glory, pleasure, or excessive solicitude.",
concept.excessive_play,Excessive Play,vice,reviewed_seed,The vice of going beyond reason in playful words or deeds.,
concept.external_behavior_modesty,Modesty in Outward Movements,virtue,reviewed_seed,The tract-local species of modesty governing outward bodily movements and serious external behavior.,
concept.first_parents_temptation,Temptation of the First Parents,doctrine,reviewed_seed,The tract-local temptation case leading toward Adam's first sin by intellective and sensitive incentives.,
concept.god,God,object,seed,God as the object or term of theological virtue and charity.,
concept.humility,Humility,virtue,reviewed_seed,The virtue that restrains a person from aiming above due measure and submits the spirit under God.,
concept.knowledge,Knowledge,doctrine,reviewed_seed,Cognitive grasp used here for prophecy and other intellectual acts.,
concept.knowledge_good_and_evil,Knowledge of Good and Evil,doctrine,reviewed_seed,The knowledge-related likeness to God especially coveted in the first sin narrative as interpreted in this tract.,
concept.loss_of_paradise,Loss of Paradise,doctrine,reviewed_seed,The deprivation of the place and state befitting original innocence after the first sin.,
concept.meekness,Meekness,virtue,reviewed_seed,The virtue moderating the passion of anger under reason.,
concept.modesty_general,Modesty (General),virtue,reviewed_seed,The annexed virtue moderating lesser matters where restraint is easier than in temperance proper.,
concept.ordered_inquiry,Ordered Inquiry,domain,reviewed_seed,The rightly ordered pursuit of knowledge under reason and due end.,
concept.outward_apparel,Outward Apparel,object,reviewed_seed,"Dress, ornament, and outward attire as matter moderated under exterior modesty.",
concept.outward_attire_modesty,Modesty in Outward Apparel,virtue,reviewed_seed,"The tract-local exterior-modesty species governing attire, ornament, and dress under reason and fitting custom.",
concept.outward_behavior,Outward Behavior,domain,reviewed_seed,"The field of bodily bearing, gesture, and exterior deportment moderated under this part of modesty.",
concept.own_excellence,One's Own Excellence,domain,reviewed_seed,The difficult good or excellence inordinately desired by pride.,
concept.playful_actions,Playful Actions,act_type,reviewed_seed,Words or deeds whose immediate end is delight and rest of soul in play.,
concept.precepts_of_temperance,Precepts of Temperance,precept,reviewed_seed,The tract-local synthesis of precepts directly bearing on temperance itself.,
concept.precepts_of_temperance_parts,Precepts of the Parts of Temperance,precept,reviewed_seed,The tract-local synthesis of precepts touching the annexed virtues and opposed vices of temperance's parts.,
concept.pride,Pride,vice,reviewed_seed,Inordinate self-exaltation by which a person aims above what is proportionate under the divine rule.,
concept.rebellion_of_carnal_appetite,Rebellion of the Carnal Appetite,doctrine,reviewed_seed,The disorder whereby the lower appetite rebels against reason as punishment of the first sin.,
concept.studiousness,Studiousness,virtue,reviewed_seed,The virtue moderating the soul's natural desire to know.,
concept.temperance,Temperance,virtue,seed,The cardinal virtue moderating attractions of pleasure.,
concept.truth_about_self,Truth About Oneself,doctrine,reviewed_seed,The rule by which humility knows and acknowledges one's proportion and deficiency.,
concept.vice,Vice,vice,reviewed_seed,Vice considered as privative disorder contrary to virtue.,
concept.virtue,Virtue,virtue,reviewed_seed,Generic virtue as good operative perfection.,Do not collapse generic virtue into a specific virtue without explicit passage support.
st.ii-ii.q161,II-II q.161 — Humility,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q162,II-II q.162 — Pride,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q163,II-II q.163 — The first man's sin,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q164,II-II q.164 — The punishments of the first man's sin,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q165,II-II q.165 — Our first parents' temptation,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q166,II-II q.166 — Studiousness,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q167,II-II q.167 — Curiosity,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q168,II-II q.168 — Modesty as consisting in the outward movements of the body,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q169,II-II q.169 — Modesty in the outward apparel,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q170,II-II q.170 — The precepts of temperance,question,structural,Structural question node for the temperance closure tract.,
st.ii-ii.q161.a001,II-II q.161 a.1 — Is humility a virtue?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q161.a002,"II-II q.161 a.2 — Does it reside in the appetite, or in the judgment of reason?",article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q161.a003,II-II q.161 a.3 — Should one subject oneself to all men by humility?,article,structural,Structural article node for the temperance closure tract.,
st.ii-ii.q161.a004,II-II q.161 a.4 — Is it a part of modesty or temperance?,article,structural,Structural article node for the temperance closure tract.,
