edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,temperance_cluster,temperance_focus
edge.food_drink.concept.abstinence.concerns_food.concept.food,concept.abstinence,Abstinence,virtue,concerns_food,concept.food,Food,object,['ann.concept-abstinence-concerns-food-concept-food-st-ii-ii-q146-a002-resp'],['st.ii-ii.q146.a002.resp'],['explicit_textual'],"['ssion departs from the good of reason , there is need of a special virtue . Now pleasures of the table are of a nature to withdraw man from the good of reason , both because they are so great, and because food is necessary to man who needs it for the maintenance of life, which he d']",reviewed_doctrinal,food_drink,"['food', 'food_drink', 'temperance_proper']"
edge.food_drink.concept.abstinence.species_of.concept.virtue,concept.abstinence,Abstinence,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-abstinence-species-of-concept-virtue-st-ii-ii-q146-a001-resp'],['st.ii-ii.q146.a001.resp'],['explicit_textual'],"['tue nor a virtuous act, but something indifferent. Secondly, it may be taken as regulated by reason, and then it signifies either a virtuous habit or a virtuous act. This is the meaning of Peter\'s words quoted above, where he says that we ought ""to join abstinence with knowledge']",reviewed_doctrinal,food_drink,"['food', 'food_drink']"
edge.food_drink.concept.abstinence.subjective_part_of.concept.temperance,concept.abstinence,Abstinence,virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-abstinence-subjective-part-of-concept-temperance-st-ii-ii-q146-a002-resp'],['st.ii-ii.q146.a002.resp'],['explicit_textual'],"['ecial motive why a passion departs from the good of reason , there is need of a special virtue . Now pleasures of the table are of a nature to withdraw man from the good of reason , both because they are so great, and because food is necessary to man who needs it for the ma']",reviewed_doctrinal,food_drink,"['food', 'food_drink', 'subjective_part', 'temperance_proper']"
edge.general_integral.concept.abstinence.subjective_part_of.concept.temperance,concept.abstinence,Abstinence,virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-abstinence-subjective-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['. For some are directed to nourishment: and in these as regards meat, there is ""abstinence,"" and as regards drink properly there is ""sobriety."" Other pleasures are directed to the power of procreation, and in these as regards the principal pleasure of the act itself of']",reviewed_doctrinal,general_integral,"['food', 'general_integral', 'subjective_part', 'temperance_proper']"
edge.sexual.concept.adultery_lust.species_of.concept.lust,concept.adultery_lust,Adultery,sin_type,species_of,concept.lust,Lust,vice,['ann.concept-adultery-lust-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['ty the woman is placed: and if she be under the authority of a husband, it is "" adultery ,"" if under the authority of her father, it is ""seduction,"" in the absence of violence , and ""rape"" if violence be employed. These species are differentiated on the part of the wo']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.potential_parts.concept.anger_vice.concerns_anger.concept.anger,concept.anger_vice,Anger (Vice-Level),vice,concerns_anger,concept.anger,Anger,passion,['ann.concept-anger-vice-concerns-anger-concept-anger-st-ii-ii-q158-a002-resp'],['st.ii-ii.q158.a002.resp'],['explicit_textual'],"['esire of anger will be sinful , and this is called sinful anger . Secondly, the order of reason in regard to anger may be considered in relation to the mode of being angry , namely that the movement of anger should not be immoderately fierce, neither internally nor externally; and if this cond']",reviewed_doctrinal,potential_parts,"['meekness_anger', 'potential_parts']"
edge.potential_parts.concept.anger_vice.excess_opposed_to.concept.meekness,concept.anger_vice,Anger (Vice-Level),vice,excess_opposed_to,concept.meekness,Meekness,virtue,['ann.concept-anger-vice-excess-opposed-to-concept-meekness-st-ii-ii-q158-a002-resp'],['st.ii-ii.q158.a002.resp'],['explicit_textual'],"['Anger, as stated above ( Article 1 ), is properly the name of a passion . A passion of the sensitive appetite is good in so far as it is regulated by reason, whereas it is evil if it se']",reviewed_doctrinal,potential_parts,"['meekness_anger', 'potential_parts']"
edge.potential_parts.concept.anger_vice.species_of.concept.vice,concept.anger_vice,Anger (Vice-Level),vice,species_of,concept.vice,Vice,vice,['ann.concept-anger-vice-species-of-concept-vice-st-ii-ii-q158-a002-resp'],['st.ii-ii.q158.a002.resp'],['explicit_textual'],"['the sensitive appetite is good in so far as it is regulated by reason, whereas it is evil if it set the order of reason aside. Now the order of reason , in regard to anger , may be considered in relation to two things. First, in relation to the appetible object to which anger tends, and that is revenge.']",reviewed_doctrinal,potential_parts,"['meekness_anger', 'potential_parts']"
edge.sexual.concept.chastity.concerns_sexual_pleasure.concept.sexual_pleasure,concept.chastity,Chastity,virtue,concerns_sexual_pleasure,concept.sexual_pleasure,Venereal / Sexual Pleasure,domain,['ann.concept-chastity-concerns-sexual-pleasure-concept-sexual-pleasure-st-ii-ii-q151-a002-resp'],['st.ii-ii.q151.a002.resp'],['explicit_textual'],"['special virtue having a special matter , namely the concupiscences relating to venereal pleasures. Secondly, the word "" chastity "" is employed metaphorically: for just as a mingling of bodies conduces to venereal pleasure which is the proper matter of chastity and of lust its']",reviewed_doctrinal,sexual,"['sex', 'sexual', 'temperance_proper']"
edge.sexual.concept.chastity.species_of.concept.virtue,concept.chastity,Chastity,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-chastity-species-of-concept-virtue-st-ii-ii-q151-a001-resp'],['st.ii-ii.q151.a001.resp'],['explicit_textual'],"['consists in being something moderated by reason, as shown above ( I-II:64:1 ). Therefore it is evident that chastity is a virtue .']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.general_integral.concept.chastity.subjective_part_of.concept.temperance,concept.chastity,Chastity,virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-chastity-subjective-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['as regards the principal pleasure of the act itself of procreation, there is "" chastity ,"" and as to the pleasures incidental to the act, resulting, for instance, from kissing , touching, or fondling, we have ""purity."" The potential parts of a principal virtue are ca']",reviewed_doctrinal,general_integral,"['general_integral', 'sex', 'subjective_part', 'temperance_proper']"
