node_id,label,node_type,registry_status,description,notes
concept.adjuration,Adjuration,act_type,reviewed_seed,A reverential calling on the divine name or a holy thing in order to obtain or command something.,
concept.adoration,Adoration,act_type,reviewed_seed,"An act of reverence offered to God, inwardly and outwardly.",
concept.astrological_divination,Astrological Divination,sin_type,reviewed_seed,Unlawful foreknowledge sought from the stars beyond what they can naturally signify.,
concept.augury,Augury,sin_type,reviewed_seed,"Divination that reads birds, signs, or omens beyond the lawful order of nature or providence.",
concept.devotion,Devotion,act_type,reviewed_seed,The ready will to do what pertains to the worship and service of God.,
concept.divination,Divination,sin_type,reviewed_seed,Superstitious foretelling or seeking knowledge of the future from unlawful sources.,
concept.divination_by_demons,Divination by Demons,sin_type,reviewed_seed,Divination that invokes demons explicitly for knowledge of the future.,
concept.divination_by_dreams,Divination by Dreams,sin_type,reviewed_seed,Superstitious use of dreams for unlawful foreknowledge when it exceeds natural or divine causes.,
concept.divine_name,Divine Name,object,reviewed_seed,"The holy name invoked in oath, adjuration, praise, and perjury.",
concept.divine_worship,Divine Worship,domain,reviewed_seed,"The domain of honor, reverence, and worship that is due to God alone.",
concept.first_fruits,First-Fruits,act_type,reviewed_seed,A special oblation offered to God in acknowledgment of divine favor.,
concept.fortune_telling_observance,Fortune-Telling Observance,sin_type,reviewed_seed,A vain observance that treats arbitrary signs as indicators of future good or evil fortune.,
concept.healing_observance,Superstitious Healing Observance,sin_type,reviewed_seed,An unlawful observance that seeks bodily effects through signs rather than natural causes.,
concept.idolatry,Idolatry,sin_type,reviewed_seed,The superstitious giving of divine worship to a creature.,
concept.justice,Justice,virtue,reviewed_seed,Moral virtue rendering acts and agents right in relation to another.,
concept.magical_observance,Magical Observance,sin_type,reviewed_seed,A vain and unlawful observance that seeks knowledge through magical signs and words.,
concept.oath,Oath,act_type,reviewed_seed,The calling of God to witness in confirmation of what one says.,
concept.oblation,Oblation,act_type,reviewed_seed,"A thing offered for divine worship, whether or not it is destroyed as sacrifice.",
concept.perjury,Perjury,sin_type,reviewed_seed,The perversity of swearing falsely and so irreverently calling God to witness.,
concept.praise_of_god,Praise of God,act_type,reviewed_seed,Vocal praise directed to God in order to stir devotion and reverence.,
concept.prayer,Prayer,act_type,reviewed_seed,The act whereby a rational creature asks or petitions God.,
concept.promise_to_god,Promise to God,object,reviewed_seed,The promised matter and divine addressee that complete the nature of a vow.,
concept.religion,Religion,virtue,reviewed_seed,The virtue annexed to justice that renders due worship to God.,"Treat religion as the positive virtue of divine worship, not as generic creed or confession."
concept.sacrament,Sacrament,object,reviewed_seed,A most spiritual thing of the New Law that causes spiritual grace.,
concept.sacred_person,Sacred Person,object,reviewed_seed,A person consecrated to divine worship and therefore protected against sacrilege.,
concept.sacred_place,Sacred Place,object,reviewed_seed,A place consecrated for divine worship and therefore a possible object of sacrilege.,
concept.sacred_thing,Sacred Thing,object,reviewed_seed,A thing deputed to divine worship and therefore owed reverence.,
concept.sacrifice,Sacrifice,act_type,reviewed_seed,An offering made to God in sign of man's subjection and honor.,
concept.sacrilege,Sacrilege,sin_type,reviewed_seed,"The irreverent treatment of a sacred thing, person, place, or sacrament.",
concept.simony,Simony,sin_type,reviewed_seed,The buying or selling of spiritual things or their sacred annexes.,
concept.sortilege,Sortilege,sin_type,reviewed_seed,Divination that seeks hidden knowledge by lots or similar acts beyond lawful necessity and reverence.,
concept.spiritual_action,Spiritual Action,object,reviewed_seed,A spiritual action flowing from grace or disposing to grace and not lawfully saleable.,
concept.spiritual_office,Spiritual Office,object,reviewed_seed,A sacred office dependent on spiritual things and therefore not lawfully sold.,
concept.spiritual_thing,Spiritual Thing,object,reviewed_seed,A spiritual good that cannot be appraised by earthly price and so cannot be lawfully sold.,
concept.superstition,Superstition,vice,reviewed_seed,The vice opposed to religion by excess in divine worship.,
concept.superstitious_observance,Superstitious Observance,sin_type,reviewed_seed,Superstitious observances that direct human acts by vain signs rather than divine authority.,
concept.sworn_assertion,Sworn Assertion,object,reviewed_seed,The human assertion or promise confirmed by calling God to witness.,
concept.temptation_of_god,Temptation of God,sin_type,reviewed_seed,The sin of testing God and thereby showing irreverence toward Him.,
concept.tithes,Tithes,act_type,reviewed_seed,The giving of a fixed proportion for the support of ministers of divine worship.,
concept.undue_worship_of_true_god,Undue Worship of the True God,sin_type,reviewed_seed,Superstition that offers worship to the true God in an undue mode.,
concept.vow,Vow,act_type,reviewed_seed,A promise made to God about something acceptable to Him.,
concept.written_charm_observance,Written-Charm Observance,sin_type,reviewed_seed,A superstitious observance that relies on written words or charms apart from due reverence to God.,
st.ii-ii.q080,II-II q.80,question,structural,Structural question node for the religion tract.,
st.ii-ii.q080.a001,II-II q.80 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081,II-II q.81,question,structural,Structural question node for the religion tract.,
st.ii-ii.q081.a001,II-II q.81 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a002,II-II q.81 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a003,II-II q.81 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a004,II-II q.81 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a005,II-II q.81 a.5,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a006,II-II q.81 a.6,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a007,II-II q.81 a.7,article,structural,Structural article node for the religion tract.,
st.ii-ii.q081.a008,II-II q.81 a.8,article,structural,Structural article node for the religion tract.,
st.ii-ii.q082,II-II q.82,question,structural,Structural question node for the religion tract.,
st.ii-ii.q082.a001,II-II q.82 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q082.a002,II-II q.82 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q082.a003,II-II q.82 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q082.a004,II-II q.82 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083,II-II q.83,question,structural,Structural question node for the religion tract.,
st.ii-ii.q083.a001,II-II q.83 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a002,II-II q.83 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a003,II-II q.83 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a004,II-II q.83 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a005,II-II q.83 a.5,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a006,II-II q.83 a.6,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a007,II-II q.83 a.7,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a008,II-II q.83 a.8,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a009,II-II q.83 a.9,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a010,II-II q.83 a.10,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a011,II-II q.83 a.11,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a012,II-II q.83 a.12,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a013,II-II q.83 a.13,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a014,II-II q.83 a.14,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a015,II-II q.83 a.15,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a016,II-II q.83 a.16,article,structural,Structural article node for the religion tract.,
st.ii-ii.q083.a017,II-II q.83 a.17,article,structural,Structural article node for the religion tract.,
st.ii-ii.q084,II-II q.84,question,structural,Structural question node for the religion tract.,
st.ii-ii.q084.a001,II-II q.84 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q084.a002,II-II q.84 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q084.a003,II-II q.84 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q085,II-II q.85,question,structural,Structural question node for the religion tract.,
st.ii-ii.q085.a001,II-II q.85 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q085.a002,II-II q.85 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q085.a003,II-II q.85 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q085.a004,II-II q.85 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q086,II-II q.86,question,structural,Structural question node for the religion tract.,
st.ii-ii.q086.a001,II-II q.86 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q086.a002,II-II q.86 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q086.a003,II-II q.86 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q086.a004,II-II q.86 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q087,II-II q.87,question,structural,Structural question node for the religion tract.,
st.ii-ii.q087.a001,II-II q.87 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q087.a002,II-II q.87 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q087.a003,II-II q.87 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q087.a004,II-II q.87 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088,II-II q.88,question,structural,Structural question node for the religion tract.,
st.ii-ii.q088.a001,II-II q.88 a.1,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a002,II-II q.88 a.2,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a003,II-II q.88 a.3,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a004,II-II q.88 a.4,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a005,II-II q.88 a.5,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a006,II-II q.88 a.6,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a007,II-II q.88 a.7,article,structural,Structural article node for the religion tract.,
st.ii-ii.q088.a008,II-II q.88 a.8,article,structural,Structural article node for the religion tract.,
