node_id,label,node_type,registry_status,description,notes
concept.boasting,Boasting,wrong_act,reviewed_seed,False self-exaltation by speaking above what one truly is.,
concept.common_good,Common Good,end,reviewed_seed,Good of the whole community rather than of a private individual alone.,
concept.covetousness,Covetousness,vice,reviewed_seed,Immoderate love of having possessions or riches.,
concept.dissimulation,Dissimulation,wrong_act,reviewed_seed,A lie told by outward deeds or signs through showing oneself otherwise than one is.,
concept.epikeia,Epikeia / Equity,virtue,reviewed_seed,The virtue correcting merely literal legal application in order to preserve justice and the common good in singular cases.,
concept.external_goods,External Goods,domain,reviewed_seed,"The domain of money and possessions that can be used, given, acquired, or retained.",
concept.flattery,Flattery,wrong_act,reviewed_seed,Excessive pleasing of others in ordinary interaction beyond the mode of virtue.,
concept.friendliness_affability,Friendliness / Affability,virtue,reviewed_seed,The virtue maintaining becoming conduct in ordinary relations by pleasing others appropriately.,
concept.giving,Giving,act_type,reviewed_seed,The act of parting with money or possessions to another.,
concept.hypocrisy,Hypocrisy,wrong_act,reviewed_seed,A species of dissimulation in which a person simulates the character of a just man without being such in reality.,
concept.intent_of_law,Intent of Law,doctrine,reviewed_seed,What the law seeks in view in ordering cases toward justice and the common good.,
concept.irony,Irony,wrong_act,reviewed_seed,False self-belittling by denying or diminishing goods one truly has.,"This is the tract's vice of understatement, not modern rhetorical irony."
concept.justice,Justice,virtue,reviewed_seed,Moral virtue rendering acts and agents right in relation to another.,
concept.law,Law,law,reviewed_seed,Law as ordinance of reason for the common good.,Generic law is kept distinct from named law-types unless the text is explicit.
concept.legal_letter,Letter of the Law,law,reviewed_seed,The merely literal application of a law in a case where following the words alone would frustrate justice.,
concept.liberality,Liberality,virtue,reviewed_seed,"The virtue moderating the use of money or external goods, especially in giving.",
concept.lying,Lying,wrong_act,reviewed_seed,The sinful false signification of what is in one's mind.,
concept.prodigality,Prodigality,vice,reviewed_seed,Excessive giving and deficient retaining or acquiring with respect to riches.,
concept.quarreling,Quarreling,wrong_act,reviewed_seed,"Contradictory disagreeableness in ordinary social interaction, opposed to affability.",
concept.retaining,Retaining,act_type,reviewed_seed,The act of keeping or holding possessions instead of parting with them.,
concept.self_presentation,Self-Presentation,domain,reviewed_seed,The domain of manifesting oneself truthfully or falsely by words or deeds.,
concept.social_interaction,Social Interaction,domain,reviewed_seed,The domain of ordinary human dealings in words and deeds among those with whom one dwells.,
concept.truth_self_presentation,Truth,virtue,reviewed_seed,The annexed virtue by which a person manifests himself as he is in words and deeds.,"This tract-local truth is truthful self-manifestation, not First Truth or theological truth in the faith tract."
st.ii-ii.q109,II-II q.109,question,structural,Truth,
st.ii-ii.q109.a001,II-II q.109 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q109.a002,II-II q.109 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q109.a003,II-II q.109 a.3,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q109.a004,II-II q.109 a.4,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q110,II-II q.110,question,structural,"The vices opposed to truth, and first of lying",
st.ii-ii.q110.a001,II-II q.110 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q110.a002,II-II q.110 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q110.a003,II-II q.110 a.3,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q110.a004,II-II q.110 a.4,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q111,II-II q.111,question,structural,Dissimulation and hypocrisy,
st.ii-ii.q111.a001,II-II q.111 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q111.a002,II-II q.111 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q111.a003,II-II q.111 a.3,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q111.a004,II-II q.111 a.4,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q112,II-II q.112,question,structural,Boasting,
st.ii-ii.q112.a001,II-II q.112 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q112.a002,II-II q.112 a.2,article,structural,Structural article node for the connected virtues 109-120 tract.,
st.ii-ii.q113,II-II q.113,question,structural,Irony,
st.ii-ii.q113.a001,II-II q.113 a.1,article,structural,Structural article node for the connected virtues 109-120 tract.,
