edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,edge_layer,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,due_mode,connected_virtues_cluster
edge.concept.article_of_faith.part_of.concept.faith,concept.article_of_faith,Article of Faith,doctrine,part_of,concept.faith,Faith,virtue,doctrinal,['ann.concept-article-of-faith-part-of-concept-faith-st-ii-ii-q001-a006-resp'],['st.ii-ii.q001.a006.resp'],['explicit_textual'],"['iv) that an article is composed of words each pronounced singly and separately, thus: ""Your passion, your voice, your look, have struck terror into your foes."" Hence matters of Christian faith are said to contain distinct articles, in so far as they are divided into parts, and fit together']",,
edge.concept.charity.defined_as.concept.friendship_with_god,concept.charity,Charity,virtue,defined_as,concept.friendship_with_god,Friendship with God,doctrine,doctrinal,['ann.concept-charity-defined-as-concept-friendship-with-god-st-ii-ii-q023-a001-resp'],['st.ii-ii.q023.a001.resp'],['explicit_textual'],"['Accordingly, since there is a communication between man and God , inasmuch as He communicates His happiness to us, some kind of friendship must needs be based on this same communication, of which it is written ( 1 Corinthians 1:9 ): "" God is faithful: by Whom you are called unto the fellowship of His Son."" The love which is based on this communication, is charity : wherefore it is evident that charity is the friendship of man for God .']",,
edge.concept.charity.species_of.concept.virtue,concept.charity,Charity,virtue,species_of,concept.virtue,Virtue,virtue,doctrinal,['ann.concept-charity-species-of-concept-virtue-st-ii-ii-q023-a003-resp'],['st.ii-ii.q023.a003.resp'],['explicit_textual'],"['Wherefore, it follows that charity is a virtue , for, since charity attains God , it unites us to God , as evidenced by the authority of Augustine quoted above.']",,
edge.concept.eternal_life.requires.concept.grace,concept.eternal_life,Eternal Life,end,requires,concept.grace,Grace,grace,doctrinal,['ann.concept-eternal-life-requires-concept-grace-st-i-ii-q109-a005-resp'],['st.i-ii.q109.a005.resp'],['explicit_textual'],['And thus without grace man cannot merit everlasting life'],,
edge.concept.faith.has_object.concept.first_truth,concept.faith,Faith,virtue,has_object,concept.first_truth,First Truth,object,doctrinal,['ann.concept-faith-has-object-concept-first-truth-st-ii-ii-q001-a001-resp'],['st.ii-ii.q001.a001.resp'],['explicit_textual'],"['Accordingly if we consider, in faith , the formal aspect of the object, it is nothing else than the First Truth']",,
edge.concept.false_prudence.opposed_by.concept.prudence,concept.false_prudence,False Prudence,vice,opposed_by,concept.prudence,Prudence,virtue,doctrinal,['ann.concept-false-prudence-opposed-by-concept-prudence-st-ii-ii-q047-a013-resp'],['st.ii-ii.q047.a013.resp'],['strong_textual_inference'],"['There is a false prudence , which takes its name from its likeness to true prudence']",,
edge.concept.general_justice.species_of.concept.justice,concept.general_justice,General Justice,virtue,species_of,concept.justice,Justice,virtue,doctrinal,['ann.concept-general-justice-species-of-concept-justice-st-ii-ii-q058-a005-resp'],['st.ii-ii.q058.a005.resp'],['explicit_textual'],['It is in this sense that justice is called a general virtue'],,
edge.concept.justice.has_act.concept.rendering_due,concept.justice,Justice,virtue,has_act,concept.rendering_due,Rendering Due,act_type,doctrinal,['ann.concept-justice-has-act-concept-rendering-due-st-ii-ii-q058-a011-resp'],['st.ii-ii.q058.a011.resp'],['explicit_textual'],['Therefore the proper act of justice is nothing else than to render to each one his own.'],,
edge.concept.justice.resides_in.concept.will,concept.justice,Justice,virtue,resides_in,concept.will,Will,faculty,doctrinal,['ann.concept-justice-resides-in-concept-will-st-ii-ii-q058-a004-resp'],['st.ii-ii.q058.a004.resp'],['explicit_textual'],"['But since we are said to be just through doing something aright, and because the proximate principle of action is the appetitive power, justice must needs be in some appetitive power as its subject']",,
edge.concept.justice.species_of.concept.virtue,concept.justice,Justice,virtue,species_of,concept.virtue,Virtue,virtue,doctrinal,['ann.concept-justice-species-of-concept-virtue-st-ii-ii-q058-a003-resp'],['st.ii-ii.q058.a003.resp'],['explicit_textual'],"['A human virtue is one ""which renders a human act and man himself good "" [Ethic']",,
