edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,fortitude_parts_cluster,fortitude_closure_focus
edge.concept.ambition.concerns_honor.concept.honor_recognition,concept.ambition,Ambition,vice,concerns_honor,concept.honor_recognition,Honor as Recognition,domain,"['ann.concept-ambition-concerns-honor-concept-honor-recognition-st-ii-ii-q131-a001-resp', 'ann.concept-ambition-concerns-honor-concept-honor-recognition-st-ii-ii-q131-a002-resp']","['st.ii-ii.q131.a001.resp', 'st.ii-ii.q131.a002.resp']",['explicit_textual'],"['an ought so far to be pleased that others bear witness to his excellence, as this enables him to profit others. Now the desire of honor may be inordinate in three ways. First, when a man desires recognition of an excellence which he has not: this is to desire more than his share of honor . Seco', 'As stated above ( Article 1 ), ambition signifies inordinate love of honor . Now magnanimity is about honors and makes use of them in a becoming manner. Wherefore it is evident that ambition is opposed to magnanimity as the inordinate']",reviewed_doctrinal,honor_worthiness,
edge.concept.ambition.directed_to.concept.honor_recognition,concept.ambition,Ambition,vice,directed_to,concept.honor_recognition,Honor as Recognition,domain,"['ann.concept-ambition-directed-to-concept-honor-recognition-st-ii-ii-q131-a001-resp', 'ann.concept-ambition-directed-to-concept-honor-recognition-st-ii-ii-q131-a002-resp']","['st.ii-ii.q131.a001.resp', 'st.ii-ii.q131.a002.resp']",['explicit_textual'],"['an ought so far to be pleased that others bear witness to his excellence, as this enables him to profit others. Now the desire of honor may be inordinate in three ways. First, when a man desires recognition of an excellence which he has not: this is to desire more than his share of honor . Seco', 'As stated above ( Article 1 ), ambition signifies inordinate love of honor . Now magnanimity is about honors and makes use of them in a becoming manner. Wherefore it is evident that ambition is opposed to magnanimity as the inordinate']",reviewed_doctrinal,honor_worthiness,
edge.concept.ambition.excess_opposed_to.concept.magnanimity,concept.ambition,Ambition,vice,excess_opposed_to,concept.magnanimity,Magnanimity,virtue,['ann.concept-ambition-excess-opposed-to-concept-magnanimity-st-ii-ii-q131-a002-resp'],['st.ii-ii.q131.a002.resp'],['strong_textual_inference'],['ove of honor . Now magnanimity is about honors and makes use of them in a becoming manner. Wherefore it is evident that ambition is opposed to magnanimity as the inordinate to that which is well ordered.'],reviewed_doctrinal,honor_worthiness,
edge.concept.ambition.species_of.concept.sin,concept.ambition,Ambition,vice,species_of,concept.sin,Sin,sin_type,['ann.concept-ambition-species-of-concept-sin-st-ii-ii-q131-a001-resp'],['st.ii-ii.q131.a001.resp'],['explicit_textual'],"[""to God . Thirdly, when a man's appetite rests in honor itself, without referring it to the profit of others. Since then ambition denotes inordinate desire of honor , it is evident that it is always a sin .""]",reviewed_doctrinal,honor_worthiness,
edge.concept.fortitude.has_act.concept.security_assurance,concept.fortitude,Fortitude,virtue,has_act,concept.security_assurance,Security / Assurance,act_type,['ann.concept-fortitude-has-act-concept-security-assurance-st-ii-ii-q129-a007-resp'],['st.ii-ii.q129.a007.resp'],['explicit_textual'],"['ngs to magnanimity, so fear directly regards fortitude . Wherefore as confidence belongs immediately to magnanimity, so security belongs immediately to fortitude . It must be observed, however, that as hope is the cause of daring, so is fear the cause of despair , as stated above when we were treating of the passion ( I']",reviewed_doctrinal,honor_worthiness,
edge.concept.glory.caused_by.concept.honor_recognition,concept.glory,Glory,domain,caused_by,concept.honor_recognition,Honor as Recognition,domain,['ann.concept-glory-caused-by-concept-honor-recognition-st-ii-ii-q132-a002-resp'],['st.ii-ii.q132.a002.resp'],['explicit_textual'],"['As stated above ( II-II:103:1 ad 3 ), glory is an effect of honor and praise: because from the fact that a man is praised, or shown any kind of reverence, he acquires charity in the knowledge of others. And since magnanimity']",reviewed_doctrinal,honor_worthiness,
edge.concept.magnanimity.concerns_honor.concept.honor_recognition,concept.magnanimity,Magnanimity,virtue,concerns_honor,concept.honor_recognition,Honor as Recognition,domain,"['ann.concept-magnanimity-concerns-honor-concept-honor-recognition-st-ii-ii-q129-a001-resp', 'ann.concept-magnanimity-concerns-honor-concept-honor-recognition-st-ii-ii-q129-a002-resp', 'ann.concept-magnanimity-concerns-honor-concept-honor-recognition-st-ii-ii-q129-a004-resp', 'ann.concept-magnanimity-concerns-honor-concept-honor-recognition-st-ii-ii-q129-a008-resp']","['st.ii-ii.q129.a001.resp', 'st.ii-ii.q129.a002.resp', 'st.ii-ii.q129.a004.resp', 'st.ii-ii.q129.a008.resp']",['explicit_textual'],"['and simply, just as a man is said to be brave in respect of things that are difficult simply. It follows therefore that magnanimity is about honors.', 'ometimes for not caring about it, in so far, to wit, as both these things may be done in moderation. But with regard to great honors there is ""magnanimity."" Wherefore we must conclude that the proper matter of magnanimity is great honor , and that a magnanimous man tends to such things as ar', 'ode of reason in a determinate matter . Now magnanimity establishes the mode of reason in a determinate matter , namely honors, as stated above ( 1 and 2 ): and honor , considered in itself, is a special good , and accordingly magnanimity considered in itself is a special virtue . Sinc', 'As stated above ( Article 1 ), magnanimity regards two things: honor as its matter , and the accomplishment of something great as its end. Now goods of fortune conduce to both these things. For since honor is conferred on the virtuous , not o']",reviewed_doctrinal,honor_worthiness,
edge.concept.magnanimity.concerns_worthiness.concept.worthiness,concept.magnanimity,Magnanimity,virtue,concerns_worthiness,concept.worthiness,Worthiness,doctrine,['ann.concept-magnanimity-concerns-worthiness-concept-worthiness-st-ii-ii-q133-a002-resp'],['st.ii-ii.q133.a002.resp'],['strong_textual_inference'],"[""ly deems to exceed one's ability. Thirdly, it may be considered in reference to its effect, which is to shrink from the great things of which one is worthy. But, as stated above ( II-II:132:2 ad 3 ), opposition between vice and virtue depends rather on their respective species than on their cause or effect. Hence""]",reviewed_doctrinal,honor_worthiness,
edge.concept.magnanimity.has_act.concept.confidence,concept.magnanimity,Magnanimity,virtue,has_act,concept.confidence,Confidence,act_type,['ann.concept-magnanimity-has-act-concept-confidence-st-ii-ii-q129-a006-resp'],['st.ii-ii.q129.a006.resp'],['explicit_textual'],"['pe arising from some observation which gives one a strong opinion that one will obtain a certain good , it follows that confidence belongs to magnanimity.']",reviewed_doctrinal,honor_worthiness,
edge.concept.magnanimity.related_to_fortitude.concept.fortitude,concept.magnanimity,Magnanimity,virtue,related_to_fortitude,concept.fortitude,Fortitude,virtue,['ann.concept-magnanimity-related-to-fortitude-concept-fortitude-st-ii-ii-q129-a005-resp'],['st.ii-ii.q129.a005.resp'],['explicit_textual'],"['ter ; but it falls short thereof, in that it confirms the mind about a matter wherein it is easier to stand firm. Hence magnanimity is reckoned a part of fortitude , because it is annexed thereto as secondary to principal.']",reviewed_doctrinal,honor_worthiness,
