edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,due_mode,review_layer
edge.concept.disobedience.concerns_due_to.concept.authority_related_due,concept.disobedience,Disobedience,sin_type,concerns_due_to,concept.authority_related_due,Authority-Related Due,doctrine,"[""ann.concept-disobedience-concerns-due-to-concept-authority-related-due-st-ii-ii-q105-a001-resp""]","[""st.ii-ii.q105.a001.resp""]","[""explicit_textual""]","[""r neighbor. The charity of God requires that we obey His commandments, as stated above ( II-II:24:12 ). Therefore to be disobedient to the commandments of God is a mortal sin , because it is contrary to the love of God . Again, the commandments of God contain the precept of obedience to superiors. Wherefore al""]",authority,reviewed_doctrinal
edge.concept.disobedience.contrary_to.concept.obedience,concept.disobedience,Disobedience,sin_type,contrary_to,concept.obedience,Obedience,virtue,"[""ann.concept-disobedience-contrary-to-concept-obedience-st-ii-ii-q105-a001-resp"", ""ann.concept-disobedience-contrary-to-concept-obedience-st-ii-ii-q105-a002-resp""]","[""st.ii-ii.q105.a001.resp"", ""st.ii-ii.q105.a002.resp""]","[""explicit_textual""]","[""r neighbor. The charity of God requires that we obey His commandments, as stated above ( II-II:24:12 ). Therefore to be disobedient to the commandments of God is a mortal sin , because it is contrary to the love of God . Again, the commandments of God contain the precept of obedience to sup"", ""de a greater good , but through setting aside that which is more in the intention of the person commanding. Accordingly the various degrees of disobedience must correspond with the various degrees of precepts: because the disobedience in which there is contempt of God's precept, from the very nature of disobedienc""]",authority,reviewed_doctrinal
edge.concept.disobedience.owed_to_role.concept.superior_role,concept.disobedience,Disobedience,sin_type,owed_to_role,concept.superior_role,Superior Role,role,"[""ann.concept-disobedience-owed-to-role-concept-superior-role-st-ii-ii-q105-a001-resp""]","[""st.ii-ii.q105.a001.resp""]","[""explicit_textual""]","[""\""He that resisteth the power, resisteth the ordinance of God .\"" It is also contrary to the love of our neighbor, as it withdraws from the superior who is our neighbor the obedience that is his due.""]",authority,reviewed_doctrinal
edge.concept.disobedience.responds_to_command.concept.command,concept.disobedience,Disobedience,sin_type,responds_to_command,concept.command,Command,act_type,"[""ann.concept-disobedience-responds-to-command-concept-command-st-ii-ii-q105-a001-resp""]","[""st.ii-ii.q105.a001.resp""]","[""explicit_textual""]","[""rity of God requires that we obey His commandments, as stated above ( II-II:24:12 ). Therefore to be disobedient to the commandments of God is a mortal sin , because it is contrary to the love of God . Again, the commandments of God contain the precept of obedience to superiors. Wherefore also diso""]",authority,reviewed_doctrinal
edge.concept.dulia.concerns_due_to.concept.excellence_related_due,concept.dulia,Dulia,virtue,concerns_due_to,concept.excellence_related_due,Excellence-Related Due,doctrine,"[""ann.concept-dulia-concerns-due-to-concept-excellence-related-due-st-ii-ii-q103-a003-resp"", ""ann.concept-dulia-concerns-due-to-concept-excellence-related-due-st-ii-ii-q103-a004-resp""]","[""st.ii-ii.q103.a003.resp"", ""st.ii-ii.q103.a004.resp""]","[""explicit_textual""]","[""he divine lordship, forasmuch as he exercises a particular power over some man or creature. Wherefore dulia, which pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all"", ""ll have parts differing specifically from one another. On another way it may be taken in a strict sense as denoting the reverence of a servant for his lord, for dulia signifies servitude, as stated above ( Article 3 ). Taken in this sense it is not divided into different species , but is one of the species of obse""]",excellence,reviewed_doctrinal
edge.concept.dulia.has_act.concept.service,concept.dulia,Dulia,virtue,has_act,concept.service,Service,act_type,"[""ann.concept-dulia-has-act-concept-service-st-ii-ii-q103-a003-resp""]","[""st.ii-ii.q103.a003.resp""]","[""explicit_textual""]","[""to the divine lordship, forasmuch as he exercises a particular power over some man or creature. Wherefore dulia, which pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all""]",excellence,reviewed_doctrinal
edge.concept.dulia.owed_to_role.concept.human_lord_role,concept.dulia,Dulia,virtue,owed_to_role,concept.human_lord_role,Human Lord Role,role,"[""ann.concept-dulia-owed-to-role-concept-human-lord-role-st-ii-ii-q103-a003-resp"", ""ann.concept-dulia-owed-to-role-concept-human-lord-role-st-ii-ii-q103-a004-resp""]","[""st.ii-ii.q103.a003.resp"", ""st.ii-ii.q103.a004.resp""]","[""explicit_textual""]","[""he divine lordship, forasmuch as he exercises a particular power over some man or creature. Wherefore dulia, which pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all"", ""ll have parts differing specifically from one another. On another way it may be taken in a strict sense as denoting the reverence of a servant for his lord, for dulia signifies servitude, as stated above ( Article 3 ). Taken in this sense it is not divided into different species , but is one of the species of obse""]",excellence,reviewed_doctrinal
edge.concept.dulia.species_of.concept.observance,concept.dulia,Dulia,virtue,species_of,concept.observance,Observance,virtue,"[""ann.concept-dulia-species-of-concept-observance-st-ii-ii-q103-a003-resp""]","[""st.ii-ii.q103.a003.resp""]","[""explicit_textual""]","[""ich pays due service to a human lord, is a distinct virtue from latria, which pays due service to the lordship of God . It is, moreover, a species of observance, because by observance we honor all those who excel in dignity, while dulia properly speaking is the reverence of servants for their master, dulia being the Gr""]",excellence,reviewed_doctrinal
edge.concept.gratitude.annexed_to.concept.justice,concept.gratitude,Gratitude,virtue,annexed_to,concept.justice,Justice,virtue,"[""ann.concept-gratitude-annexed-to-concept-justice-st-ii-ii-q106-a001-resp""]","[""st.ii-ii.q106.a001.resp""]","[""strong_textual_inference""]","[""ue worship, and piety, whereby we worship our parents, and observance, whereby we worship persons excelling in dignity, there is thankfulness or gratitude, whereby we give thanks to our benefactors. And it is distinct from the foregoing virtues , just as each of these is distinct from the one that precedes, as fa""]",benefaction,reviewed_doctrinal
edge.concept.gratitude.concerns_due_to.concept.benefaction_related_due,concept.gratitude,Gratitude,virtue,concerns_due_to,concept.benefaction_related_due,Benefaction-Related Due,doctrine,"[""ann.concept-gratitude-concerns-due-to-concept-benefaction-related-due-st-ii-ii-q106-a001-resp"", ""ann.concept-gratitude-concerns-due-to-concept-benefaction-related-due-st-ii-ii-q106-a003-resp""]","[""st.ii-ii.q106.a001.resp"", ""st.ii-ii.q106.a003.resp""]","[""explicit_textual""]","[""upbringing: thirdly it is found in the person that excels in dignity, from whom general favors proceed; fourthly it is found in a benefactor, from whom we have received particular and private favors, on account of which we are under particular obligation to him. Accordingly, since what we owe God ,"", ""it is evident that a benefactor, as such, is cause of the beneficiary. Hence the natural order requires that he who has received a favor should, by repaying the favor, turn to his benefactor according to the mode of each. And, as stated above with regard to a father ( II-II:31:3 ; II-II:101:2 ),""]",benefaction,reviewed_doctrinal
