edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer
edge.concept.accuser_role.directed_to.concept.common_good,concept.accuser_role,Accuser,role,directed_to,concept.common_good,Common Good,end,['ann.concept-accuser-role-directed-to-concept-common-good-st-ii-ii-q068-a001-resp'],['st.ii-ii.q068.a001.resp'],['explicit_textual'],"['nal time of retribution, but in their character of medicine, conducing either to the amendment of the sinner, or to the good of the commonwealth whose calm is ensured by the punishment of evil -doers. The former of these is intended in denunciation , as stated, whereas the second regards properly accusa']",reviewed_doctrinal
edge.concept.assault.abuses_role.concept.judge_role,concept.assault,Assault or Blows,wrong_act,abuses_role,concept.judge_role,Judge,role,['ann.concept-assault-abuses-role-concept-judge-role-st-ii-ii-q065-a002-resp'],['st.ii-ii.q065.a002.resp'],['strong_textual_inference'],"[""Harm is done a body by striking it, yet not so as when it is maimed: since maiming destroys the body's integrity, while a blow merely affects the sense with pain, wherefore it causes much less harm than cutting off a member. Now it is unlawful to do a person a""]",reviewed_doctrinal
edge.concept.assault.harms_domain.concept.bodily_integrity,concept.assault,Assault or Blows,wrong_act,harms_domain,concept.bodily_integrity,Bodily Integrity,domain,['ann.concept-assault-harms-domain-concept-bodily-integrity-st-ii-ii-q065-a002-resp'],['st.ii-ii.q065.a002.resp'],['explicit_textual'],"[""Harm is done a body by striking it, yet not so as when it is maimed: since maiming destroys the body's integrity, while a blow merely affects the sense with pain, wherefore it causes much less h""]",reviewed_doctrinal
edge.concept.backbiting.harms_domain.concept.reputation,concept.backbiting,Backbiting,wrong_act,harms_domain,concept.reputation,Reputation,domain,"['ann.concept-backbiting-harms-domain-concept-reputation-st-ii-ii-q073-a001-resp', 'ann.concept-backbiting-harms-domain-concept-reputation-st-ii-ii-q073-a002-resp', 'ann.concept-backbiting-harms-domain-concept-reputation-st-ii-ii-q073-a003-resp']","['st.ii-ii.q073.a001.resp', 'st.ii-ii.q073.a002.resp', 'st.ii-ii.q073.a003.resp']","['explicit_textual', 'strong_textual_inference']","['s against another secretly, seems to respect rather than slight him, so that he injures directly, not his honor but his good name , in so far as by uttering such words secretly, he, for his own part, causes his hearers to have a bad opinion of the person against whom he speaks. For the ba', ""2 ), sins of word should be judged chiefly from the intention of the speaker. Now backbiting by its very nature aims at blackening a man's good name . Wherefore, properly speaking, to backbite is to speak ill of an absent person in order to blacken his good name . Now it is a very grave matter to blacken a"", ""The essential gravity of sins committed against one's neighbor must be weighed by the injury they inflict on him, since it is thence that they derive their sinful nature . Now the greater the good taken away, the greater the injury. And while man's good is thr""]",reviewed_doctrinal
edge.concept.calumnious_defense.abuses_role.concept.defendant_role,concept.calumnious_defense,Calumnious Defense,wrong_act,abuses_role,concept.defendant_role,Defendant,role,['ann.concept-calumnious-defense-abuses-role-concept-defendant-role-st-ii-ii-q069-a002-resp'],['st.ii-ii.q069.a002.resp'],['strong_textual_inference'],"['It is one thing to withhold the truth , and another to utter a falsehood. The former is lawful sometimes, for a man is not bound to divulge all truth , but only such as the judge can and must require of him according to the order of']",reviewed_doctrinal
edge.concept.calumnious_defense.corrupts_process.concept.judicial_process,concept.calumnious_defense,Calumnious Defense,wrong_act,corrupts_process,concept.judicial_process,Judicial Process,process,['ann.concept-calumnious-defense-corrupts-process-concept-judicial-process-st-ii-ii-q069-a002-resp'],['st.ii-ii.q069.a002.resp'],['strong_textual_inference'],"['It is one thing to withhold the truth , and another to utter a falsehood. The former is lawful sometimes, for a man is not bound to divulge all truth , but only such as the judge can and must require of him according to the order of']",reviewed_doctrinal
edge.concept.calumnious_defense.harms_domain.concept.truth_in_legal_proceedings,concept.calumnious_defense,Calumnious Defense,wrong_act,harms_domain,concept.truth_in_legal_proceedings,Truth in Legal Proceedings,domain,['ann.concept-calumnious-defense-harms-domain-concept-truth-in-legal-proceedings-st-ii-ii-q069-a002-resp'],['st.ii-ii.q069.a002.resp'],['strong_textual_inference'],"['It is one thing to withhold the truth , and another to utter a falsehood. The former is lawful sometimes, for a man is not bound to divulge all truth , but only such as the judge can and must require of him according to the order of']",reviewed_doctrinal
edge.concept.cheating.harms_domain.concept.fairness_in_exchange,concept.cheating,Cheating in Exchange,wrong_act,harms_domain,concept.fairness_in_exchange,Fairness in Exchange,domain,"['ann.concept-cheating-harms-domain-concept-fairness-in-exchange-st-ii-ii-q077-a001-resp', 'ann.concept-cheating-harms-domain-concept-fairness-in-exchange-st-ii-ii-q077-a003-resp']","['st.ii-ii.q077.a001.resp', 'st.ii-ii.q077.a003.resp']",['strong_textual_inference'],"['It is altogether sinful to have recourse to deceit in order to sell a thing for more than its just price, because this is to deceive one\'s neighbor so as to injure him. Hence Tully says (De Offic. iii, 15): ""Contracts should be entirely free from double-dealing: t', 'It is always unlawful to give anyone an occasion of danger or loss, although a man need not always give another the help or counsel which would be for his advantage in any way; but only in certain fixed cases, for instance whe']",reviewed_doctrinal
edge.concept.cheating.harms_domain.concept.property,concept.cheating,Cheating in Exchange,wrong_act,harms_domain,concept.property,Property,domain,['ann.concept-cheating-harms-domain-concept-property-st-ii-ii-q077-a002-resp'],['st.ii-ii.q077.a002.resp'],['strong_textual_inference'],"['found pertaining to the thing which is sold. One, in respect of the thing\'s substance : and if the seller be aware of a fault in the thing he is selling, he is guilty of a fraudulent sale, so that the sale is rendered unlawful. Hence we find it written against certain people ( Isaiah 1:22 ), ""Thy']",reviewed_doctrinal
edge.concept.cheating.opposed_by.concept.justice,concept.cheating,Cheating in Exchange,wrong_act,opposed_by,concept.justice,Justice,virtue,['ann.concept-cheating-opposed-by-concept-justice-st-ii-ii-q077-a001-resp'],['st.ii-ii.q077.a001.resp'],['strong_textual_inference'],"['rse to deceit in order to sell a thing for more than its just price, because this is to deceive one\'s neighbor so as to injure him. Hence Tully says (De Offic. iii, 15): ""Contracts should be entirely free from double-dealing: the seller must not impose upon the bidder, nor the buyer upon o']",reviewed_doctrinal
