edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,connected_virtues_cluster
edge.concept.boasting.concerns_self_presentation.concept.self_presentation,concept.boasting,Boasting,wrong_act,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-boasting-concerns-self-presentation-concept-self-presentation-st-ii-ii-q112-a001-resp'],['st.ii-ii.q112.a001.resp'],['explicit_textual'],"[""a man wishes to throw [jactare] a thing far away, he lifts it up high. And to uplift oneself, properly speaking, is to talk of oneself above oneself [Or 'tall-talking' as we should say in English]. This happens in two ways. For sometimes a man speaks of himself, not above what he is in himself, but above th""]",reviewed_doctrinal,self_presentation
edge.concept.boasting.contrary_to.concept.truth_self_presentation,concept.boasting,Boasting,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-boasting-contrary-to-concept-truth-self-presentation-st-ii-ii-q112-a001-resp'],['st.ii-ii.q112.a001.resp'],['explicit_textual'],['above what others think of one: although in either case it may be called boasting. Hence boasting properly so called is opposed to truth by way of excess.'],reviewed_doctrinal,self_presentation
edge.concept.boasting.species_of.concept.lying,concept.boasting,Boasting,wrong_act,species_of,concept.lying,Lying,wrong_act,['ann.concept-boasting-species-of-concept-lying-st-ii-ii-q110-a002-resp'],['st.ii-ii.q110.a002.resp'],['explicit_textual'],"['e Philosopher (Ethic. iv, 7), lies are of two kinds, namely, the lie which goes beyond the truth , and this belongs to ""boasting,"" and the lie which stops short of the truth , and this belongs to ""irony."" This division is an essential division of lying itself, because lying as such is op']",reviewed_doctrinal,self_presentation
edge.concept.covetousness.concerns_external_goods.concept.external_goods,concept.covetousness,Covetousness,vice,concerns_external_goods,concept.external_goods,External Goods,domain,['ann.concept-covetousness-concerns-external-goods-concept-external-goods-st-ii-ii-q118-a002-resp'],['st.ii-ii.q118.a002.resp'],['explicit_textual'],"['dinately desired, there is a special kind of sin . Now the useful good differs in aspect from the delightful good . And riches , as such, come under the head of useful good , since they are desired under the aspect of being useful to man . Consequently covetousness is a special sin , forasmuch as it is an immoderate love of having']",reviewed_doctrinal,external_goods
edge.concept.covetousness.contrary_to.concept.liberality,concept.covetousness,Covetousness,vice,contrary_to,concept.liberality,Liberality,virtue,['ann.concept-covetousness-contrary-to-concept-liberality-st-ii-ii-q118-a003-resp'],['st.ii-ii.q118.a003.resp'],['explicit_textual'],"['man loves or desires riches too much, or takes too much pleasure in them, even if he be unwilling to steal. On this way covetousness is opposed to liberality, which moderates these affections, as stated above ( 117, 2, ad 3, 3, ad 3, 6 ). On this sense covetousness is spoken of ( 2 Corinthians 9:5 ): ""That they woul']",reviewed_doctrinal,external_goods
edge.concept.covetousness.has_act.concept.retaining,concept.covetousness,Covetousness,vice,has_act,concept.retaining,Retaining,act_type,['ann.concept-covetousness-has-act-concept-retaining-st-ii-ii-q118-a003-resp'],['st.ii-ii.q118.a003.resp'],['explicit_textual'],"['ly in respect of the acquisition and keeping of riches . On this way a man obtains money beyond his due, by stealing or retaining another\'s property. This is opposed to justice , and in this sense covetousness is mentioned ( Ezekiel 22:27 ): ""Her princes in the midst of her are like wolves ravening the prey']",reviewed_doctrinal,external_goods
edge.concept.dissimulation.concerns_self_presentation.concept.self_presentation,concept.dissimulation,Dissimulation,wrong_act,concerns_self_presentation,concept.self_presentation,Self-Presentation,domain,['ann.concept-dissimulation-concerns-self-presentation-concept-self-presentation-st-ii-ii-q111-a001-resp'],['st.ii-ii.q111.a001.resp'],['explicit_textual'],"['As stated above ( II-II:109:3 ; II-II:110:1 ), it belongs to the virtue of truth to show oneself outwardly by outward signs to be such as one is. Now outward signs are not only words, but also deeds . Accordingly just as it is contrary to truth to signify by words s']",reviewed_doctrinal,self_presentation
edge.concept.dissimulation.contrary_to.concept.truth_self_presentation,concept.dissimulation,Dissimulation,wrong_act,contrary_to,concept.truth_self_presentation,Truth,virtue,['ann.concept-dissimulation-contrary-to-concept-truth-self-presentation-st-ii-ii-q111-a001-resp'],['st.ii-ii.q111.a001.resp'],['explicit_textual'],"[""ardly by outward signs to be such as one is. Now outward signs are not only words, but also deeds . Accordingly just as it is contrary to truth to signify by words something different from that which is in one's mind, so also is it contrary to truth to employ signs of deeds or things to signify the con""]",reviewed_doctrinal,self_presentation
edge.concept.dissimulation.species_of.concept.lying,concept.dissimulation,Dissimulation,wrong_act,species_of,concept.lying,Lying,wrong_act,['ann.concept-dissimulation-species-of-concept-lying-st-ii-ii-q111-a001-resp'],['st.ii-ii.q111.a001.resp'],['explicit_textual'],"['ings to signify the contrary of what is in oneself, and this is what is properly denoted by dissimulation. Consequently dissimulation is properly a lie told by the signs of outward deeds . Now it matters not whether one lie in word or in any other way, as stated above ( II-II:110:1 Objection 2 ). Wherefore, si']",reviewed_doctrinal,self_presentation
edge.concept.epikeia.corrects_legal_letter.concept.legal_letter,concept.epikeia,Epikeia / Equity,virtue,corrects_legal_letter,concept.legal_letter,Letter of the Law,law,['ann.concept-epikeia-corrects-legal-letter-concept-legal-letter-st-ii-ii-q120-a001-resp'],['st.ii-ii.q120.a001.resp'],['explicit_textual'],"['deposit in order to fight against his country. On these and like cases it is bad to follow the law , and it is good to set aside the letter of the law and to follow the dictates of justice and the common good . This is the object of ""epikeia"" which we call equity. Therefore it is evident that ""epikeia"" is a v']",reviewed_doctrinal,legal_equity
