node_id,label,node_type,registry_status,description,notes
concept.act_of_faith,Act of Faith,act_type,seed,The inward believing act by which the intellect assents to divine truth.,
concept.almsgiving,Almsgiving,act_type,seed,"Giving to the needy as an act of mercy and, through mercy, of charity.",
concept.apostasy,Apostasy,sin_type,seed,"Backsliding from God, and absolutely speaking, withdrawal from the faith.",
concept.article_of_faith,Article of Faith,doctrine,reviewed_seed,Distinct doctrinal articulation within the content of faith.,
concept.beatitude_clean_of_heart,Beatitude of the Clean of Heart,beatitude,seed,Beatitude pronounced on the clean of heart.,
concept.beatitude_mourn,Beatitude of Those Who Mourn,beatitude,seed,Beatitude pronounced on those who mourn.,
concept.beatitude_peacemakers,Beatitude of the Peacemakers,beatitude,seed,Beatitude pronounced on the peacemakers.,
concept.beatitude_poor_in_spirit,Beatitude of the Poor in Spirit,beatitude,seed,Beatitude pronounced on the poor in spirit.,
concept.beneficence,Beneficence,act_type,seed,Doing good to another as an act of friendship and charity.,
concept.blasphemy,Blasphemy,sin_type,seed,Disparagement of divine goodness by denying what befits God or affirming what does not.,
concept.blasphemy_against_holy_spirit,Sin Against the Holy Spirit,sin_type,seed,The special sin against the Holy Spirit as treated in questions 14-15.,
concept.blindness_of_mind,Blindness of Mind,sin_type,seed,Privation of intellectual sight by willful turning away from intelligible principle.,
concept.charity,Charity,virtue,reviewed_seed,Theological virtue of friendship with God.,Do not auto-normalize bare 'love' to charity outside clearly theological context.
concept.common_good,Common Good,end,reviewed_seed,Good of the whole community rather than of a private individual alone.,
concept.concord,Concord,act_type,seed,Agreement of hearts directed together by charity.,
concept.confession_of_faith,Confession of Faith,act_type,seed,The outward verbal confession of what is held by faith.,
concept.contention,Contention,sin_type,seed,Contrariety of speech in a disordered or truth-disclaiming manner.,
concept.despair_sin,Despair (Sin),sin_type,seed,Sinful movement contrary to hope by judging pardon or salvation unavailable from God.,
concept.discord,Discord,sin_type,seed,Dissent of wills contrary to the concord produced by charity.,
concept.dullness_of_sense,Dullness of Sense,sin_type,seed,Obtuseness of intellectual penetration in spiritual matters.,
concept.ecclesial_unity,Ecclesial Unity,doctrine,seed,The unity of the Church and its members described as an effect of charity.,
concept.envy,Envy,sin_type,seed,Grief over a neighbor's good in a way contrary to charity.,
concept.eternal_life,Eternal Life,end,reviewed_seed,Supernatural end exceeding the proportion of human nature.,
concept.faith,Faith,virtue,reviewed_seed,Theological virtue assenting to divine truth on God's authority.,
concept.fear_of_lord_gift,Gift of Fear of the Lord,gift_holy_spirit,seed,Gift of the Holy Spirit producing reverential fear before God.,
concept.first_truth,First Truth,object,reviewed_seed,Formal object of faith considered under divine revelation.,
concept.folly,Folly,sin_type,seed,"Dulled judgment in divine things, treated as contrary to wisdom.",
concept.form_of_virtues,Form of the Virtues,doctrine,reviewed_seed,The ordering role by which charity informs the acts of the virtues.,
concept.fraternal_correction,Fraternal Correction,act_type,seed,Correction of a brother's sin as an act of charity ordered to amendment.,
concept.friendship_with_god,Friendship with God,doctrine,reviewed_seed,The definitional friendship Aquinas attributes to charity.,
concept.god,God,object,seed,God as the object or term of theological virtue and charity.,
concept.hatred_sin,Hatred (Sin),sin_type,seed,Sinful hatred opposed to the love due to God or neighbor.,
concept.heresy,Heresy,sin_type,seed,Species of unbelief choosing private judgment against Christian doctrine.,
concept.holy_spirit,Holy Spirit,doctrine,seed,The Holy Spirit in relation to infused charity and the named gifts.,
concept.hope,Hope,virtue,seed,The theological virtue by which eternal beatitude is expected from God.,
concept.joy,Joy,act_type,seed,Spiritual joy in God proceeding from charity.,
concept.knowledge_gift,Gift of Knowledge,gift_holy_spirit,seed,Gift of the Holy Spirit for judging created things in relation to God.,
concept.love_act,Love (Act),act_type,seed,The principal act belonging to charity inasmuch as charity loves.,
concept.mercy,Mercy,act_type,seed,Merciful movement or act as treated in the charity tract.,
concept.neighbor,Neighbor,object,seed,Neighbor as the human object loved out of charity in God.,
concept.object_of_faith,Object of Faith,doctrine,reviewed_seed,Formal and material object considered in the tract on faith.,
concept.peace,Peace,act_type,seed,The ordered tranquility and union effected by charity.,
concept.precepts_of_charity,Precepts of Charity,precept,seed,Precepts whose end and ordering belong to charity.,
concept.precepts_of_faith_knowledge_and_understanding,"Precepts of Faith, Knowledge, and Understanding",precept,seed,Precept material governing faith together with the connected gifts of knowledge and understanding.,
concept.precepts_of_hope_and_fear,Precepts of Hope and Fear,precept,seed,Precepts or legal preambles ordering the acts of hope and fear.,
concept.presumption,Presumption,sin_type,seed,Immoderate hope relying on God or self in a disordered way.,
concept.scandal,Scandal,sin_type,seed,Something less rightly done or said that occasions another's spiritual downfall.,
concept.schism,Schism,sin_type,seed,"Scission from ecclesial unity, directly opposed to the unity effected by charity.",
concept.sedition,Sedition,sin_type,seed,"Tumult or antagonism between parts of one people, opposed to civic unity and peace.",
concept.sloth,Sloth,sin_type,seed,"Oppressive sorrow about spiritual good, contrary to charity's joy.",
concept.strife,Strife,sin_type,seed,Private war or contradiction of deeds between persons.,
concept.symbol_of_faith,Symbol of Faith,doctrine,reviewed_seed,Collected formula by which the truths of faith are proposed.,
concept.unbelief,Unbelief,sin_type,seed,Sin opposed to faith by refusing or despising what faith proposes.,
concept.understanding_gift,Gift of Understanding,gift_holy_spirit,seed,Gift of the Holy Spirit granting penetration into divine truth.,
concept.virtue,Virtue,virtue,reviewed_seed,Generic virtue as good operative perfection.,Do not collapse generic virtue into a specific virtue without explicit passage support.
concept.war,War,sin_type,seed,War as treated in the charity tract under the conditions of justice and peace.,
concept.will,Will,faculty,reviewed_seed,The rational appetite and proximate principle of commanded human action.,
concept.wisdom_gift,Gift of Wisdom,gift_holy_spirit,seed,Gift of the Holy Spirit perfecting higher judgment by divine things.,
st.ii-ii.q001,II-II q.1 — Faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q002,II-II q.2 — The act of faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q003,II-II q.3 — The outward act of faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q004,II-II q.4 — The virtue itself of faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q005,II-II q.5 — Those who have faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q006,II-II q.6 — The cause of faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q007,II-II q.7 — The effects of faith,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q008,II-II q.8 — The gift of understanding,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q009,II-II q.9 — The gift of knowledge,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q010,II-II q.10 — Unbelief in general,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q011,II-II q.11 — Heresy,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q012,II-II q.12 — Apostasy,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q013,"II-II q.13 — The sin of blasphemy, in general",question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q014,II-II q.14 — Blasphemy against the Holy Ghost,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q015,II-II q.15 — The vices opposed to knowledge and understanding,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q016,"II-II q.16 — The precepts of faith, knowledge and understanding",question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q017,"II-II q.17 — Hope, considered in itself",question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q018,II-II q.18 — The subject of hope,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q019,II-II q.19 — The gift of fear,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q020,II-II q.20 — Despair,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q021,II-II q.21 — Presumption,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q022,II-II q.22 — The precepts relating to hope and fear,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q023,"II-II q.23 — Charity, considered in itself",question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q024,II-II q.24 — The subject of charity,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q025,II-II q.25 — The object of charity,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q026,II-II q.26 — The order of charity,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q027,"II-II q.27 — The principle act of charity, which is to love",question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q028,II-II q.28 — Joy,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q029,II-II q.29 — Peace,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q030,II-II q.30 — Mercy,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q031,II-II q.31 — Beneficence,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q032,II-II q.32 — Almsdeeds,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q033,II-II q.33 — Fraternal correction,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q034,II-II q.34 — Hatred,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q035,II-II q.35 — Sloth,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q036,II-II q.36 — Envy,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q037,"II-II q.37 — Discord, which is contrary to peace",question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q038,II-II q.38 — Contention,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q039,II-II q.39 — Schism,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q040,II-II q.40 — War,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q041,II-II q.41 — Strife,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q042,II-II q.42 — Sedition,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q043,II-II q.43 — Scandal,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q044,II-II q.44 — The precepts of charity,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q045,II-II q.45 — The gift of wisdom,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q046,II-II q.46 — Folly which is opposed to wisdom,question,structural,Structural question node for the theological virtues tract.,
st.ii-ii.q001.a001,II-II q.1 a.1 — Is the object of faith the First Truth?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a002,"II-II q.1 a.2 — Is the object of faith something complex or incomplex, i.e. is it a thing or a proposition?",article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a003,II-II q.1 a.3 — Can anything false come under faith?,article,structural,Structural article node for the theological virtues tract.,
st.ii-ii.q001.a004,II-II q.1 a.4 — Can the object of faith be anything seen?,article,structural,Structural article node for the theological virtues tract.,
