node_id,label,node_type,registry_status,description,notes
concept.abstinence,Abstinence,virtue,reviewed_seed,The virtue moderating food by reason.,
concept.adams_first_sin,Adam's First Sin,doctrine,reviewed_seed,"The tract-local doctrinal case of the first sin of the first man, treated under pride without collapsing into the generic vice node.",
concept.adultery_lust,Adultery,sin_type,reviewed_seed,Adultery as treated within the species of lust in q.154.,
concept.anger,Anger,passion,reviewed_seed,Passion of the irascible appetite concerning injury and vindication.,
concept.anger_vice,Anger (Vice-Level),vice,reviewed_seed,Anger insofar as it becomes sinful by setting aside the order of reason.,
concept.beauty_of_virtue,Beauty / Comeliness of Virtue,domain,reviewed_seed,The honorable beauty or comeliness especially associated with temperance and honesty.,
concept.bodily_defects_first_sin,Bodily Defects (Punishments of the First Sin),doctrine,reviewed_seed,"Bodily corruption, sickness, and defect as punishments following the loss of original integrity.",
concept.boorishness,Boorishness / Rudeness,vice,reviewed_seed,The vice of deficient playfulness that makes a person burdensome to others in ordinary intercourse.,
concept.cardinal_virtue,Cardinal Virtue,virtue,seed,Principal moral virtue around which others are ordered.,
concept.chastity,Chastity,virtue,reviewed_seed,The virtue by which reason chastises concupiscence in venereal pleasures.,
concept.clemency,Clemency,virtue,reviewed_seed,The virtue that mitigates punishment under the rule of reason.,
concept.continence,Continence,habit,reviewed_seed,Reason's resistance to vehement evil desires without the full ease of perfect temperance.,
concept.cruelty,Cruelty,vice,reviewed_seed,The vice opposed to clemency by exceeding due severity in punishment.,
concept.curiosity,Curiosity,vice,reviewed_seed,"Disordered pursuit of knowledge or inquiry, opposed to studiousness in this temperance tract.",
concept.death_first_sin,Death (Punishment of the First Sin),doctrine,reviewed_seed,Death as the common punishment flowing from the first sin.,
concept.decalogue,Decalogue,precept,seed,The principal set of precepts delivered in the Old Law.,
concept.disgrace,Disgrace,domain,reviewed_seed,Disgrace as the feared deformity opposed to temperance and related virtue.,
concept.disordered_inquiry,Disordered Inquiry,domain,reviewed_seed,The inordinate study or pursuit of knowledge treated under curiosity.,
concept.divine_likeness,Divine Likeness,doctrine,reviewed_seed,The likeness to God that the first man inordinately coveted beyond due measure.,
concept.drink,Drink,object,reviewed_seed,Drink as matter for sobriety and drunkenness in the temperance tract.,
concept.drunkenness,Drunkenness,vice,reviewed_seed,Immoderate use of wine or intoxicating drink resulting in loss of reason.,
concept.eutrapelia,Wittiness / Eutrapelia,virtue,reviewed_seed,The virtue governing games and playful actions according to reason as part of external modesty.,
concept.excessive_adornment,Excessive Adornment,vice,reviewed_seed,"Immoderate attention to outward apparel seeking glory, pleasure, or excessive solicitude.",
concept.excessive_play,Excessive Play,vice,reviewed_seed,The vice of going beyond reason in playful words or deeds.,
concept.external_behavior_modesty,Modesty in Outward Movements,virtue,reviewed_seed,The tract-local species of modesty governing outward bodily movements and serious external behavior.,
concept.fasting,Fasting,act_type,reviewed_seed,A virtuous act of abstinence undertaken under the rule of reason.,
concept.fear_of_lord_gift,Gift of Fear of the Lord,gift_holy_spirit,seed,Gift of the Holy Spirit producing reverential fear before God.,
concept.first_parents_temptation,Temptation of the First Parents,doctrine,reviewed_seed,The tract-local temptation case leading toward Adam's first sin by intellective and sensitive incentives.,
concept.food,Food,object,reviewed_seed,"Food as matter for abstinence, fasting, and gluttony within the temperance tract.",
concept.gluttony,Gluttony,vice,reviewed_seed,Inordinate desire of eating and drinking opposed to abstinence.,
concept.god,God,object,seed,God as the object or term of theological virtue and charity.,
concept.honesty_temperance,Honesty (Temperance Tract),doctrine,reviewed_seed,Honesty as the honorable comeliness of virtue and an integral part of temperance in this tract.,
concept.humility,Humility,virtue,reviewed_seed,The virtue that restrains a person from aiming above due measure and submits the spirit under God.,
concept.incest_lust,Incest,sin_type,reviewed_seed,Incest as treated within the species of lust in q.154.,
concept.incontinence,Incontinence,sin_type,reviewed_seed,"Failure to stand by reason under vehement passion, especially in pleasures of touch and secondarily in anger.",
concept.insensibility_temperance,Insensibility (Against Temperance),vice,reviewed_seed,"Defective refusal of pleasures that nature requires in due measure, opposed to temperance in q.142.",
concept.intemperance,Intemperance,vice,seed,Vice opposed to temperance.,
concept.knowledge,Knowledge,doctrine,reviewed_seed,Cognitive grasp used here for prophecy and other intellectual acts.,
concept.knowledge_good_and_evil,Knowledge of Good and Evil,doctrine,reviewed_seed,The knowledge-related likeness to God especially coveted in the first sin narrative as interpreted in this tract.,
concept.loss_of_paradise,Loss of Paradise,doctrine,reviewed_seed,The deprivation of the place and state befitting original innocence after the first sin.,
concept.lust,Lust,vice,reviewed_seed,Disordered seeking of venereal pleasure against right reason.,
concept.meekness,Meekness,virtue,reviewed_seed,The virtue moderating the passion of anger under reason.,
concept.modesty_general,Modesty (General),virtue,reviewed_seed,The annexed virtue moderating lesser matters where restraint is easier than in temperance proper.,
concept.nocturnal_pollution,Nocturnal Pollution,sin_type,reviewed_seed,Nocturnal venereal pollution as treated in q.154 a.5.,
concept.ordered_inquiry,Ordered Inquiry,domain,reviewed_seed,The rightly ordered pursuit of knowledge under reason and due end.,
concept.outward_apparel,Outward Apparel,object,reviewed_seed,"Dress, ornament, and outward attire as matter moderated under exterior modesty.",
concept.outward_attire_modesty,Modesty in Outward Apparel,virtue,reviewed_seed,"The tract-local exterior-modesty species governing attire, ornament, and dress under reason and fitting custom.",
concept.outward_behavior,Outward Behavior,domain,reviewed_seed,"The field of bodily bearing, gesture, and exterior deportment moderated under this part of modesty.",
concept.outward_moderation,Outward Moderation,domain,reviewed_seed,The broader field of lesser matters moderated by modesty in q.160.,
concept.own_excellence,One's Own Excellence,domain,reviewed_seed,The difficult good or excellence inordinately desired by pride.,
concept.parts_of_lust,Parts / Species of Lust,doctrine,reviewed_seed,The tract-level division of lust into distinct species treated in q.154.,
concept.parts_of_temperance_general,Parts of Temperance (General Taxonomy),doctrine,reviewed_seed,"The tract-level teaching that temperance has integral, subjective, and potential parts.",
concept.playful_actions,Playful Actions,act_type,reviewed_seed,Words or deeds whose immediate end is delight and rest of soul in play.,
concept.pleasures_of_touch,Pleasures of Touch,domain,reviewed_seed,The proper matter of temperance in the restricted sense emphasized in q.141.,
concept.precepts_of_temperance,Precepts of Temperance,precept,reviewed_seed,The tract-local synthesis of precepts directly bearing on temperance itself.,
concept.precepts_of_temperance_parts,Precepts of the Parts of Temperance,precept,reviewed_seed,The tract-local synthesis of precepts touching the annexed virtues and opposed vices of temperance's parts.,
concept.pride,Pride,vice,reviewed_seed,Inordinate self-exaltation by which a person aims above what is proportionate under the divine rule.,
concept.punishment,Punishment,process,reviewed_seed,Punishment as the matter clemency mitigates under the rule of reason.,
concept.purity_temperance,Purity (Temperance Tract),virtue,reviewed_seed,Purity insofar as it moderates pleasures incidental to venereal acts in the temperance tract.,
concept.rape_lust,Rape,sin_type,reviewed_seed,Rape as treated within the species or grave acts of lust in q.154.,
concept.reason,Reason,faculty,reviewed_seed,Reason as rule and measure of human acts.,
concept.rebellion_of_carnal_appetite,Rebellion of the Carnal Appetite,doctrine,reviewed_seed,The disorder whereby the lower appetite rebels against reason as punishment of the first sin.,
concept.sacrilege_lust,Sacrilege (Lust Tract),sin_type,reviewed_seed,Sacrilege insofar as sacred persons or things are violated by venereal sin in q.154.,
concept.savagery_brutality,Savagery / Brutality,vice,reviewed_seed,Bestial or savage attack distinct from cruelty properly so called in q.159 a.2.,
concept.seduction_lust,Seduction,sin_type,reviewed_seed,Seduction as treated among the species or tracted cases of lust in q.154.,
concept.sexual_pleasure,Venereal / Sexual Pleasure,domain,reviewed_seed,"The venereal matter treated by chastity, virginity, lust, and the parts of lust.",
concept.shamefacedness,Shamefacedness,passion,reviewed_seed,The fear of disgrace that stands as an integral part of temperance while falling short of perfect virtue.,
concept.simple_fornication,Simple Fornication,sin_type,reviewed_seed,The union of an unmarried man and an unmarried woman treated as a species of lust in q.154.,
concept.sin,Sin,sin_type,reviewed_seed,Bad human act contrary to due rule and measure.,
concept.sobriety,Sobriety,virtue,reviewed_seed,The virtue moderating intoxicating drink for the safeguard of reason.,
concept.studiousness,Studiousness,virtue,reviewed_seed,The virtue moderating the soul's natural desire to know.,
concept.temperance,Temperance,virtue,seed,The cardinal virtue moderating attractions of pleasure.,
concept.truth_about_self,Truth About Oneself,doctrine,reviewed_seed,The rule by which humility knows and acknowledges one's proportion and deficiency.,
concept.unnatural_vice_lust,Vice Against Nature,sin_type,reviewed_seed,"Venereal acts from which generation cannot follow, treated as a species of lust in q.154.",
concept.venereal_touches_kisses,Venereal Touches / Kisses,sin_type,reviewed_seed,Disordered venereal touching and kissing treated in q.154 a.4.,
concept.vice,Vice,vice,reviewed_seed,Vice considered as privative disorder contrary to virtue.,
concept.virginity,Virginity,virtue,reviewed_seed,The tract's virtue or state of perpetual integrity ordered to freedom from venereal experience.,
concept.virtue,Virtue,virtue,reviewed_seed,Generic virtue as good operative perfection.,Do not collapse generic virtue into a specific virtue without explicit passage support.
st.ii-ii.q141,II-II q.141,question,structural,Temperance,
st.ii-ii.q141.a001,II-II q.141 a.1,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a002,II-II q.141 a.2,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a003,II-II q.141 a.3,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a004,II-II q.141 a.4,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a005,II-II q.141 a.5,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a006,II-II q.141 a.6,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a007,II-II q.141 a.7,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q141.a008,II-II q.141 a.8,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q142,II-II q.142,question,structural,The vices opposed to temperance,
st.ii-ii.q142.a001,II-II q.142 a.1,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q142.a002,II-II q.142 a.2,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q142.a003,II-II q.142 a.3,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q142.a004,II-II q.142 a.4,article,structural,Structural article node for the temperance 141-160 tract.,
st.ii-ii.q143,II-II q.143,question,structural,"The parts of temperance, in general",
st.ii-ii.q143.a001,II-II q.143 a.1,article,structural,Structural article node for the temperance 141-160 tract.,
