question_id,part_id,question_number,question_title,parse_status,expected_article_count,parsed_article_count,parsed_passage_count,warning_count,missing_article_numbers,source_url,excluded_reason
st.i-ii.q001,i-ii,1,Man's last end,partial,8,8,29,2,[],https://www.newadvent.org/summa/2001.htm,
st.i-ii.q002,i-ii,2,Things in which man's happiness consists,ok,8,8,32,0,[],https://www.newadvent.org/summa/2002.htm,
st.i-ii.q003,i-ii,3,What is happiness,ok,8,8,34,0,[],https://www.newadvent.org/summa/2003.htm,
st.i-ii.q004,i-ii,4,Things that are required for happiness,ok,8,8,34,0,[],https://www.newadvent.org/summa/2004.htm,
st.i-ii.q005,i-ii,5,The attainment of happiness,ok,8,8,31,0,[],https://www.newadvent.org/summa/2005.htm,
st.i-ii.q006,i-ii,6,The voluntary and the involuntary,partial,8,8,29,2,[],https://www.newadvent.org/summa/2006.htm,
st.i-ii.q007,i-ii,7,The circumstances of human acts,ok,4,4,16,0,[],https://www.newadvent.org/summa/2007.htm,
st.i-ii.q008,i-ii,8,"The will, in regard to what it wills",ok,3,3,12,0,[],https://www.newadvent.org/summa/2008.htm,
st.i-ii.q009,i-ii,9,That which moves the will,ok,6,6,24,0,[],https://www.newadvent.org/summa/2009.htm,
st.i-ii.q010,i-ii,10,The manner in which the will is moved,ok,4,4,16,0,[],https://www.newadvent.org/summa/2010.htm,
st.i-ii.q011,i-ii,11,Enjoyment which is an act of the will,ok,4,4,17,0,[],https://www.newadvent.org/summa/2011.htm,
st.i-ii.q012,i-ii,12,Intention,ok,5,5,21,0,[],https://www.newadvent.org/summa/2012.htm,
st.i-ii.q013,i-ii,13,"Choice, which is an act of the will with regard to the means",ok,6,6,23,0,[],https://www.newadvent.org/summa/2013.htm,
st.i-ii.q014,i-ii,14,"Counsel, which precedes choice",ok,6,6,24,0,[],https://www.newadvent.org/summa/2014.htm,
st.i-ii.q015,i-ii,15,"Consent, which is an act of the will in regard to the means",ok,4,4,16,0,[],https://www.newadvent.org/summa/2015.htm,
st.i-ii.q016,i-ii,16,"Use, which is an act of the will in regard to the means",ok,4,4,15,0,[],https://www.newadvent.org/summa/2016.htm,
st.i-ii.q017,i-ii,17,The acts commanded by the will,ok,9,9,35,0,[],https://www.newadvent.org/summa/2017.htm,
st.i-ii.q018,i-ii,18,"The good and evil of human acts, in general",ok,11,11,45,0,[],https://www.newadvent.org/summa/2018.htm,
st.i-ii.q019,i-ii,19,The goodness and malice of the interior act of the will,ok,10,10,37,0,[],https://www.newadvent.org/summa/2019.htm,
st.i-ii.q020,i-ii,20,Goodness and malice in external human affairs,ok,6,6,24,0,[],https://www.newadvent.org/summa/2020.htm,
st.i-ii.q021,i-ii,21,The consequences of human actions by reason of their goodness and malice,ok,4,4,16,0,[],https://www.newadvent.org/summa/2021.htm,
st.i-ii.q022,i-ii,22,The subject of the soul's passions,ok,3,3,12,0,[],https://www.newadvent.org/summa/2022.htm,
st.i-ii.q023,i-ii,23,How the passions differ from one another,partial,4,4,7,6,[],https://www.newadvent.org/summa/2023.htm,
st.i-ii.q024,i-ii,24,Good and evil in the passions of the soul,ok,4,4,15,0,[],https://www.newadvent.org/summa/2024.htm,
st.i-ii.q025,i-ii,25,The order of the passions to one another,ok,4,4,15,0,[],https://www.newadvent.org/summa/2025.htm,
st.i-ii.q026,i-ii,26,"The passions of the soul in particular: and first, of love",ok,4,4,16,0,[],https://www.newadvent.org/summa/2026.htm,
