node_id,label,node_type,registry_status,description,notes
concept.authority_related_due,Authority-Related Due,doctrine,reviewed_seed,What is due because another rightly commands under divinely ordered authority.,
concept.benefaction,Benefaction,act_type,reviewed_seed,A favor or freely bestowed benefit generating a moral debt of gratitude.,
concept.benefaction_related_due,Benefaction-Related Due,doctrine,reviewed_seed,What is due because one has received a freely bestowed benefit from another.,
concept.benefactor_role,Benefactor Role,role,reviewed_seed,Role-level category for one from whom a recipient has received a benefit.,
concept.command,Command,act_type,reviewed_seed,Practical act applying counsel and judgment to action.,
concept.country,Country,object,reviewed_seed,The fatherland or country as an origin-context and object of piety after parents.,
concept.disobedience,Disobedience,sin_type,reviewed_seed,The sin of refusing obedience due to God or to a superior in rightful command.,
concept.dulia,Dulia,virtue,reviewed_seed,A species of observance rendering due service to a human lord under a created mode of superiority.,
concept.excellence_related_due,Excellence-Related Due,doctrine,reviewed_seed,"What is due because another excels in dignity, superiority, or governing station.",
concept.gratitude,Gratitude,virtue,reviewed_seed,The virtue giving thanks to a benefactor for a favor received.,
concept.honor,Honor,act_type,reviewed_seed,The act of acknowledging excellence through fitting signs.,
concept.human_lord_role,Human Lord Role,role,reviewed_seed,Role-level category for a created lord to whom due service is paid under dulia.,
concept.ingratitude,Ingratitude,sin_type,reviewed_seed,"The sin opposed to gratitude by deficiency in acknowledging, praising, or repaying a favor.",
concept.justice,Justice,virtue,reviewed_seed,Moral virtue rendering acts and agents right in relation to another.,
concept.obedience,Obedience,virtue,reviewed_seed,The virtue by which one follows a superior's command according to divinely established order.,
concept.observance,Observance,virtue,reviewed_seed,The virtue paying honor and service to persons who excel in dignity.,
concept.origin_related_due,Origin-Related Due,doctrine,reviewed_seed,What is due because another stands as a proximate principle of one's being or upbringing.,
concept.parent_role,Parent Role,role,reviewed_seed,Role-level category for parents as proximate principles of being and upbringing.,
concept.person_in_dignity_role,Person in Dignity,role,reviewed_seed,Role-level category for one who excels in dignity and governance.,
concept.piety,Piety,virtue,reviewed_seed,The virtue rendering due worship and service to parents and country as proximate principles of being and government.,
concept.prior_wrong,Prior Wrong,wrong_act,reviewed_seed,A prior wrong or sin to which rectificatory response may be due.,
concept.punishment,Punishment,act_type,reviewed_seed,A penal infliction restoring order or acting medicinally when rightly imposed.,
concept.rectification,Rectification,doctrine,reviewed_seed,The restoration of order after prior wrong by due punitive or corrective response.,
concept.rectificatory_due,Rectificatory Due,doctrine,reviewed_seed,"What is due because a prior wrong calls for correction, restraint, or punitive restoration of order.",
concept.service,Service,act_type,reviewed_seed,Fitting service rendered to another according to due relation.,
concept.superior_role,Superior Role,role,reviewed_seed,Role-level category for one who commands or governs others in due order.,
concept.vengeance,Vengeance,virtue,reviewed_seed,The virtue seeking due penal correction or restraint in response to prior wrong.,
st.ii-ii.q101,II-II q.101,question,structural,Piety,
st.ii-ii.q101.a001,II-II q.101 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q101.a002,II-II q.101 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q101.a003,II-II q.101 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q101.a004,II-II q.101 a.4,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q102,II-II q.102,question,structural,"Observance, considered in itself, and its parts",
st.ii-ii.q102.a001,II-II q.102 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q102.a002,II-II q.102 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q102.a003,II-II q.102 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q103,II-II q.103,question,structural,Dulia,
st.ii-ii.q103.a001,II-II q.103 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q103.a002,II-II q.103 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q103.a003,II-II q.103 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q103.a004,II-II q.103 a.4,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q104,II-II q.104,question,structural,Obedience,
st.ii-ii.q104.a001,II-II q.104 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q104.a002,II-II q.104 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q104.a003,II-II q.104 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q104.a004,II-II q.104 a.4,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q104.a005,II-II q.104 a.5,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q104.a006,II-II q.104 a.6,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q105,II-II q.105,question,structural,Disobedience,
st.ii-ii.q105.a001,II-II q.105 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q105.a002,II-II q.105 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q106,II-II q.106,question,structural,Thankfulness or gratitude,
st.ii-ii.q106.a001,II-II q.106 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q106.a002,II-II q.106 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q106.a003,II-II q.106 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q106.a004,II-II q.106 a.4,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q106.a005,II-II q.106 a.5,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q106.a006,II-II q.106 a.6,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q107,II-II q.107,question,structural,Ingratitude,
st.ii-ii.q107.a001,II-II q.107 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q107.a002,II-II q.107 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q107.a003,II-II q.107 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q107.a004,II-II q.107 a.4,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q108,II-II q.108,question,structural,Vengeance,
st.ii-ii.q108.a001,II-II q.108 a.1,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q108.a002,II-II q.108 a.2,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q108.a003,II-II q.108 a.3,article,structural,Structural article node for the owed-relation tract.,
st.ii-ii.q108.a004,II-II q.108 a.4,article,structural,Structural article node for the owed-relation tract.,
