edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer
edge.concept.adjuration.concerns_sacred_object.concept.divine_name,concept.adjuration,Adjuration,act_type,concerns_sacred_object,concept.divine_name,Divine Name,object,"[""ann.concept-adjuration-concerns-sacred-object-concept-divine-name-st-ii-ii-q090-a001-resp""]","[""st.ii-ii.q090.a001.resp""]","[""explicit_textual""]","[""A man who utters a promissory oath , swearing by his reverence for the Divine name, which he invokes in confirmation of his promise, binds himself to do what he has undertaken, and so orders himself unchangeably to do a certain thing. Now jus""]",reviewed_doctrinal
edge.concept.adjuration.concerns_sacred_object.concept.sacred_thing,concept.adjuration,Adjuration,act_type,concerns_sacred_object,concept.sacred_thing,Sacred Thing,object,"[""ann.concept-adjuration-concerns-sacred-object-concept-sacred-thing-st-ii-ii-q090-a001-resp""]","[""st.ii-ii.q090.a001.resp""]","[""explicit_textual""]","[""hom he can compel on the strength of the oath they have taken. Therefore, if a man by invoking the name of God , or any holy thing, intends by this adjuration to put one who is not his subject under an obligation to do a certain thing, in the same way as he would bind himself by oath , suc""]",reviewed_doctrinal
edge.concept.adoration.directed_to.concept.divine_worship,concept.adoration,Adoration,act_type,directed_to,concept.divine_worship,Divine Worship,domain,"[""ann.concept-adoration-directed-to-concept-divine-worship-st-ii-ii-q084-a002-resp""]","[""st.ii-ii.q084.a002.resp""]","[""explicit_textual""]","[""As Damascene says (De Fide Orth. iv, 12), since we are composed of a twofold nature , intellectual and sensible, we offer God a twofold adoration; namely, a spiritual adoration, consisting in the internal devotion of the mind ; and a bodily adoration, which consists in an exterior humbling of the body. A""]",reviewed_doctrinal
edge.concept.astrological_divination.species_of.concept.divination,concept.astrological_divination,Astrological Divination,sin_type,species_of,concept.divination,Divination,sin_type,"[""ann.concept-astrological-divination-species-of-concept-divination-st-ii-ii-q095-a003-resp""]","[""st.ii-ii.q095.a003.resp""]","[""explicit_textual""]","[""rtain things. If one endeavor to know the future by observing the position and movements of the stars, this belongs to \""astrologers,\"" who are also called \""genethliacs,\"" because they take note of the days on which people are born. If one observe the movements and cries of birds or of any ani""]",reviewed_doctrinal
edge.concept.augury.species_of.concept.divination,concept.augury,Augury,sin_type,species_of,concept.divination,Divination,sin_type,"[""ann.concept-augury-species-of-concept-divination-st-ii-ii-q095-a003-resp""]","[""st.ii-ii.q095.a003.resp""]","[""explicit_textual""]","[""ries of birds or of any animals, or the sneezing of men , or the sudden movements of limbs, this belongs in general to \""augury,\"" which is so called from the chattering of birds [avium garritu], just as \""auspice\"" is derived from watching birds [avium inspectione]. These are chiefly wont""]",reviewed_doctrinal
edge.concept.devotion.directed_to.concept.divine_worship,concept.devotion,Devotion,act_type,directed_to,concept.divine_worship,Divine Worship,domain,"[""ann.concept-devotion-directed-to-concept-divine-worship-st-ii-ii-q082-a001-resp""]","[""st.ii-ii.q082.a001.resp""]","[""explicit_textual""]","[""iii, 9; x, 28). Hence devotion is apparently nothing else but the will to give oneself readily to things concerning the service of God . Wherefore it is written ( Exodus 35:20-21 ) that \""the multitude of the children of Israel . . . offered first-fruits to the Lord with a most ready and devout""]",reviewed_doctrinal
edge.concept.divination.excess_opposed_to.concept.religion,concept.divination,Divination,sin_type,excess_opposed_to,concept.religion,Religion,virtue,"[""ann.concept-divination-excess-opposed-to-concept-religion-st-ii-ii-q095-a002-resp""]","[""st.ii-ii.q095.a002.resp""]","[""strong_textual_inference""]","[""As stated above ( Article 1 ; Q92,94 ), superstition denotes undue divine worship. Now a thing pertains to the worship of God in two ways: in one way, it is something offered to God ; as a sacrifice, an oblation, or something of the kind: in""]",reviewed_doctrinal
edge.concept.divination.species_of.concept.superstition,concept.divination,Divination,sin_type,species_of,concept.superstition,Superstition,vice,"[""ann.concept-divination-species-of-concept-superstition-st-ii-ii-q092-a002-resp"", ""ann.concept-divination-species-of-concept-superstition-st-ii-ii-q095-a002-resp""]","[""st.ii-ii.q092.a002.resp"", ""st.ii-ii.q095.a002.resp""]","[""explicit_textual""]","[""a creature. The second end of religion is that man may be taught by God Whom he worships; and to this must be referred \""divinatory\"" superstition, which consults the demons through compacts made with them, whether tacit or explicit. Thirdly, the end of divine worship is a certain direction"", ""edge of the future, when one tries to get it from a source whence it cannot be foreknown. Therefore it is manifest that divination is a species of superstition .""]",reviewed_doctrinal
edge.concept.divination_by_demons.species_of.concept.divination,concept.divination_by_demons,Divination by Demons,sin_type,species_of,concept.divination,Divination,sin_type,"[""ann.concept-divination-by-demons-species-of-concept-divination-st-ii-ii-q095-a003-resp""]","[""st.ii-ii.q095.a003.resp""]","[""explicit_textual""]","[""alled \"" divination by dreams\"": sometimes they employ apparitions or utterances of the dead, and this species is called \""necromancy,\"" for as Isidore observes (Etym. viii) in Greek, nekron \""means dead and manteia divination , because after certain incantations and the sprinkling of blood, th""]",reviewed_doctrinal
edge.concept.divination_by_dreams.species_of.concept.divination,concept.divination_by_dreams,Divination by Dreams,sin_type,species_of,concept.divination,Divination,sin_type,"[""ann.concept-divination-by-dreams-species-of-concept-divination-st-ii-ii-q095-a003-resp""]","[""st.ii-ii.q095.a003.resp""]","[""explicit_textual""]","[""igiation\"" because man's eyes are blindfolded [praestringuntur]. Sometimes they make use of dreams, and this is called \"" divination by dreams\"": sometimes they employ apparitions or utterances of the dead, and this species is called \""necromancy,\"" for as Isidore observes (Etym. viii) in Greek, nekron \""""]",reviewed_doctrinal
