edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer
edge.concept.apostasy.species_of.concept.unbelief,concept.apostasy,Apostasy,sin_type,species_of,concept.unbelief,Unbelief,sin_type,ann.concept-apostasy-species-of-concept-unbelief-st-ii-ii-q012-a001-resp,st.ii-ii.q012.a001.resp,explicit_textual,"t whereby a man withdraws from the faith , and is called ""apostasy of perfidy."" On this way apostasy, simply so called, pertains to unbelief.",reviewed_doctrinal
edge.concept.article_of_faith.part_of.concept.faith,concept.article_of_faith,Article of Faith,doctrine,part_of,concept.faith,Faith,virtue,ann.concept-article-of-faith-part-of-concept-faith-st-ii-ii-q001-a006-resp,st.ii-ii.q001.a006.resp,explicit_textual,"iv) that an article is composed of words each pronounced singly and separately, thus: ""Your passion, your voice, your look, have struck terror into your foes."" Hence matters of Christian faith are said to contain distinct articles, in so far as they are divided into parts, and fit together",reviewed_doctrinal
edge.concept.blasphemy.opposed_by.concept.confession_of_faith,concept.blasphemy,Blasphemy,sin_type,opposed_by,concept.confession_of_faith,Confession of Faith,act_type,ann.concept-blasphemy-opposed-by-concept-confession-of-faith-st-ii-ii-q013-a001-resp,st.ii-ii.q013.a001.resp,explicit_textual,"t is in thought only, it is blasphemy of the heart, whereas if it betrays itself outwardly in speech it is blasphemy is opposed to confession of faith .",reviewed_doctrinal
edge.concept.charity.caused_by.concept.holy_spirit,concept.charity,Charity,virtue,caused_by,concept.holy_spirit,Holy Spirit,doctrine,ann.concept-charity-caused-by-concept-holy-spirit-st-ii-ii-q024-a002-resp,st.ii-ii.q024.a002.resp,explicit_textual,"ts cause . Therefore charity can be in us neither naturally , nor through acquisition by the natural powers, but by the infusion of the Holy Ghost , Who is the love of the Father and the Son, and the participation of Whom in us is created charity , as stated above ( II-II:23:2 ).",reviewed_doctrinal
edge.concept.charity.defined_as.concept.friendship_with_god,concept.charity,Charity,virtue,defined_as,concept.friendship_with_god,Friendship with God,doctrine,ann.concept-charity-defined-as-concept-friendship-with-god-st-ii-ii-q023-a001-resp,st.ii-ii.q023.a001.resp,explicit_textual,"Accordingly, since there is a communication between man and God , inasmuch as He communicates His happiness to us, some kind of friendship must needs be based on this same communication, of which it is written ( 1 Corinthians 1:9 ): "" God is faithful: by Whom you are called unto the fellowship of His Son."" The love which is based on this communication, is charity : wherefore it is evident that charity is the friendship of man for God .",reviewed_doctrinal
edge.concept.charity.has_act.concept.almsgiving,concept.charity,Charity,virtue,has_act,concept.almsgiving,Almsgiving,act_type,ann.concept-charity-has-act-concept-almsgiving-st-ii-ii-q032-a001-resp,st.ii-ii.q032.a001.resp,explicit_textual,"tin ""miseratio"" is. And since mercy is an effect of charity , as shown above ( 30, 2, 3, Objection 3 ), it follows that almsgiving is an act of charity through the medium of mercy.",reviewed_doctrinal
edge.concept.charity.has_act.concept.beneficence,concept.charity,Charity,virtue,has_act,concept.beneficence,Beneficence,act_type,ann.concept-charity-has-act-concept-beneficence-st-ii-ii-q031-a001-resp,st.ii-ii.q031.a001.resp,explicit_textual,"considered in two ways, first under the general aspect of good , and this belongs to beneficence in general, and is an act of friendship, and, consequently, of charity : because the act of love includes goodwill whereby a man wishes his friend well, as stated above ( II-II:23:1 ; II-II:27:2 ). N",reviewed_doctrinal
edge.concept.charity.has_act.concept.fraternal_correction,concept.charity,Charity,virtue,has_act,concept.fraternal_correction,Fraternal Correction,act_type,ann.concept-charity-has-act-concept-fraternal-correction-st-ii-ii-q033-a001-resp,st.ii-ii.q033.a001.resp,explicit_textual,"much as the contrary good of virtue is more akin to charity than the good of the body or of external things. Therefore fraternal correction is an act of charity rather than the healing of a bodily infirmity, or the relieving of an external bodily need. There is another correction which applies a remedy to the sin of th",reviewed_doctrinal
edge.concept.charity.has_act.concept.love_act,concept.charity,Charity,virtue,has_act,concept.love_act,Love (Act),act_type,ann.concept-charity-has-act-concept-love-act-st-ii-ii-q027-a001-resp,st.ii-ii.q027.a001.resp,explicit_textual,"To love belongs to charity as charity . For, since charity is a virtue , by its very essence it has an inclination to its proper act. Now to be loved is not the act of the charity of the",reviewed_doctrinal
edge.concept.charity.has_object.concept.god,concept.charity,Charity,virtue,has_object,concept.god,God,object,ann.concept-charity-has-object-concept-god-st-ii-ii-q025-a001-resp | ann.concept-charity-has-object-concept-god-st-ii-ii-q026-a002-resp,st.ii-ii.q025.a001.resp | st.ii-ii.q026.a002.resp,explicit_textual,", since what we ought to love in our neighbor is that he may be in God . Hence it is clear that it is specifically the same act whereby we love God , and whereby we love our neighbor. Consequently the habit of charity extends not only to the love of God , but also to the love of our neighbor. | h consists essentially in God , as the First Principle, whence it flows to all who are capable of happiness . Therefore God ought to be loved chiefly and before all out of charity : for He is loved as the cause of happiness , whereas our neighbor is loved as receiving together with us a share of happiness from Him.",reviewed_doctrinal
edge.concept.charity.has_object.concept.neighbor,concept.charity,Charity,virtue,has_object,concept.neighbor,Neighbor,object,ann.concept-charity-has-object-concept-neighbor-st-ii-ii-q025-a001-resp | ann.concept-charity-has-object-concept-neighbor-st-ii-ii-q025-a008-resp,st.ii-ii.q025.a001.resp | st.ii-ii.q025.a008.resp,explicit_textual,"is that he may be in God . Hence it is clear that it is specifically the same act whereby we love God , and whereby we love our neighbor. Consequently the habit of charity extends not only to the love of God , but also to the love of our neighbor. | hat we should love our enemies, namely, that in loving God and our neighbor, we should not exclude our enemies from the love given to our neighbor in general. Thirdly, love of one's enemies may be considered as specially directed to them, namely, that we should have a special movement of love towards our enemies. Ch",reviewed_doctrinal
