edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,part_taxonomy
edge.concept.caution.integral_part_of.concept.prudence,concept.caution,Caution,prudence_part,integral_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-caution-integral-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,integral
edge.concept.caution.treated_in.st.ii-ii.q048.a001,concept.caution,Caution,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-caution-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,
edge.concept.caution.treated_in.st.ii-ii.q049.a008,concept.caution,Caution,prudence_part,treated_in,st.ii-ii.q049.a008,II-II q.49 a.8 — Caution,article,['ann.st-ii-ii-q049-a008-resp-concept-caution-treated-in-st-ii-ii-q049-a008'],['st.ii-ii.q049.a008.resp'],['explicit_textual'],"['Wherefore prudence needs caution, so that we may have such a grasp of good as to avoid evil .']",reviewed_doctrinal,
edge.concept.circumspection.integral_part_of.concept.prudence,concept.circumspection,Circumspection,prudence_part,integral_part_of,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q048-a001-resp-concept-circumspection-integral-part-of-concept-prudence'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,integral
edge.concept.circumspection.treated_in.st.ii-ii.q048.a001,concept.circumspection,Circumspection,prudence_part,treated_in,st.ii-ii.q048.a001,"II-II q.48 a.1 — The three parts of prudence: integral, subjective, and potential",article,['ann.st-ii-ii-q048-a001-resp-concept-circumspection-treated-in-st-ii-ii-q048-a001'],['st.ii-ii.q048.a001.resp'],['explicit_textual'],"['vi, 11): ""Of such things one needs to have the sense, and this is understanding."" Of these eight, five belong to prudence as a cognitive virtue , namely, "" memory ,"" ""reasoning,"" ""understanding,"" ""docility"" and ""shrewdness"": while the three others belong thereto, as commanding and applying knowledge to action, namely, ""foresight,"" ""circumspection"" and ""caution."" The reason of their difference is seen from the fact that three things may be observed in reference to knowledge']",reviewed_doctrinal,
edge.concept.circumspection.treated_in.st.ii-ii.q049.a007,concept.circumspection,Circumspection,prudence_part,treated_in,st.ii-ii.q049.a007,II-II q.49 a.7 — Circumspection,article,['ann.st-ii-ii-q049-a007-resp-concept-circumspection-treated-in-st-ii-ii-q049-a007'],['st.ii-ii.q049.a007.resp'],['explicit_textual'],"['Hence the need of circumspection in prudence , viz']",reviewed_doctrinal,
edge.concept.command.treated_in.st.ii-ii.q047.a008,concept.command,Command,act,treated_in,st.ii-ii.q047.a008,II-II q.47 a.8 — Is its proper act command?,article,['ann.st-ii-ii-q047-a008-resp-concept-command-treated-in-st-ii-ii-q047-a008'],['st.ii-ii.q047.a008.resp'],['explicit_textual'],"['But the practical reason, which is directed to action, goes further, and its third act is ""to command,"" which act consists in applying to action the things counselled and judged']",reviewed_doctrinal,
edge.concept.common_good.treated_in.st.ii-ii.q047.a010,concept.common_good,Common Good,end,treated_in,st.ii-ii.q047.a010,II-II q.47 a.10 — Does prudence extend to the governing of many?,article,['ann.st-ii-ii-q047-a010-resp-concept-common-good-treated-in-st-ii-ii-q047-a010'],['st.ii-ii.q047.a010.resp'],['explicit_textual'],"['vi, 8) some have held that prudence does not extend to the common good , but only to the good of the individual , and this because they thought that man is not bound to seek other than his own good']",reviewed_doctrinal,
edge.concept.common_good.treated_in.st.ii-ii.q047.a011,concept.common_good,Common Good,end,treated_in,st.ii-ii.q047.a011,II-II q.47 a.11 — Is the prudence which regards private good the same in species as that which regards the common good?,article,['ann.st-ii-ii-q047-a011-resp-concept-common-good-treated-in-st-ii-ii-q047-a011'],['st.ii-ii.q047.a011.resp'],['explicit_textual'],"['another, ""domestic prudence "" which is directed to the common good of the home']",reviewed_doctrinal,
edge.concept.counsel_gift.corresponds_to.concept.mercy_beatitude,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,corresponds_to,concept.mercy_beatitude,Beatitude of Mercy,beatitude,['ann.st-ii-ii-q052-a004-resp-concept-counsel-gift-corresponds-to-concept-mercy-beatitude'],['st.ii-ii.q052.a004.resp'],['explicit_textual'],"['see note on II-II:30:1 is profitable to all things."" Therefore the beatitude of mercy specially corresponds to the gift of counsel, not as eliciting but as directing mercy.']",reviewed_doctrinal,
edge.concept.counsel_gift.corresponds_to.concept.prudence,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,corresponds_to,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q052-a002-resp-concept-counsel-gift-corresponds-to-concept-prudence'],['st.ii-ii.q052.a002.resp'],['explicit_textual'],"['Therefore the gift of counsel corresponds to prudence , as helping and perfecting it.']",reviewed_doctrinal,
edge.concept.counsel_gift.treated_in.st.ii-ii.q052.a001,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,treated_in,st.ii-ii.q052.a001,II-II q.52 a.1 — Should counsel be reckoned among the seven gifts of the Holy Ghost?,article,['ann.st-ii-ii-q052-a001-resp-concept-counsel-gift-treated-in-st-ii-ii-q052-a001'],['st.ii-ii.q052.a001.resp'],['explicit_textual'],"['Again, it is proper to the rational creature to be moved through the research of reason to perform any particular action, and this research is called counsel']",reviewed_doctrinal,
edge.concept.counsel_gift.treated_in.st.ii-ii.q052.a002,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,treated_in,st.ii-ii.q052.a002,II-II q.52 a.2 — Does the gift of counsel correspond to prudence?,article,['ann.st-ii-ii-q052-a002-resp-concept-counsel-gift-treated-in-st-ii-ii-q052-a002'],['st.ii-ii.q052.a002.resp'],['explicit_textual'],"['Consequently prudence , which denotes rectitude of reason , is chiefly perfected and helped through being ruled and moved by the Holy Ghost , and this belongs to the gift of counsel, as stated above ( Article 1 )']",reviewed_doctrinal,
edge.concept.counsel_gift.treated_in.st.ii-ii.q052.a003,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,treated_in,st.ii-ii.q052.a003,II-II q.52 a.3 — Does the gift of counsel remain in heaven?,article,['ann.st-ii-ii-q052-a003-resp-concept-counsel-gift-treated-in-st-ii-ii-q052-a003'],['st.ii-ii.q052.a003.resp'],['explicit_textual'],"['v, 19) ""the angels take counsel of God about things beneath them"": wherefore the instruction which they receive from God in such matters is called ""counsel."" Accordingly the gift of counsel is in the blessed, in so far as God preserves in them the knowledge that they have, and enlightens them in their nescience of what has to be done.']",reviewed_doctrinal,
edge.concept.counsel_gift.treated_in.st.ii-ii.q052.a004,concept.counsel_gift,Gift of Counsel,gift_holy_spirit,treated_in,st.ii-ii.q052.a004,"II-II q.52 a.4 — Does the fifth beatitude, ""Blessed are the merciful,"" etc. correspond to the gift of counsel?",article,['ann.st-ii-ii-q052-a004-resp-concept-counsel-gift-treated-in-st-ii-ii-q052-a004'],['st.ii-ii.q052.a004.resp'],['explicit_textual'],"['Hence such things as are of most use for an end, should above all correspond to the gift of counsel']",reviewed_doctrinal,
edge.concept.covetousness.treated_in.st.ii-ii.q055.a008,concept.covetousness,Covetousness,vice,treated_in,st.ii-ii.q055.a008,II-II q.55 a.8 — The origin of these vices,article,['ann.st-ii-ii-q055-a008-resp-concept-covetousness-treated-in-st-ii-ii-q055-a008'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],"['Hence the undue use of reason appears chiefly in the vices opposed to justice , the chief of which is covetousness']",reviewed_doctrinal,
edge.concept.craftiness.caused_by.concept.covetousness,concept.craftiness,Craftiness,vice,caused_by,concept.covetousness,Covetousness,vice,['ann.st-ii-ii-q055-a008-resp-concept-craftiness-caused-by-concept-covetousness'],['st.ii-ii.q055.a008.resp'],['explicit_textual'],['Therefore the aforesaid vices arise chiefly from covetousness .'],reviewed_doctrinal,
edge.concept.craftiness.opposed_by.concept.prudence,concept.craftiness,Craftiness,vice,opposed_by,concept.prudence,Prudence,virtue,['ann.st-ii-ii-q055-a003-resp-concept-craftiness-opposed-by-concept-prudence'],['st.ii-ii.q055.a003.resp'],['explicit_textual'],"['This is consequently a sin opposed to prudence , and distinct from prudence of the flesh.']",reviewed_doctrinal,
