node_id,label,node_type,origin,source_scope,notes
concept.anger,Anger,passion,registry,pilot_registry_seed,
concept.article_of_faith,Article of Faith,doctrine,registry,st.ii-ii.q001,
concept.aversion,Aversion,passion,registry,pilot_registry_seed,
concept.beatitude,Beatitude,beatitude,registry,st.i-ii.q090,"In the pilot slice, happiness and beatitude are normalized together."
concept.beatitude_generic,Beatitude (Generic),beatitude,registry,pilot_registry_seed,
concept.charity,Charity,virtue,registry,st.ii-ii.q023,Do not auto-normalize bare 'love' to charity outside clearly theological context.
concept.choice,Choice,act_type,registry,pilot_registry_seed,
concept.command,Command,act_type,registry,st.ii-ii.q047,
concept.commandments,Commandments,precept,registry,st.i-ii.q109,
concept.common_good,Common Good,end,registry,st.i-ii.q090 | st.ii-ii.q047,
concept.cooperating_grace,Cooperating Grace,grace_type,registry,pilot_registry_seed,
concept.desire,Desire,passion,registry,pilot_registry_seed,
concept.despair,Despair,passion,registry,pilot_registry_seed,
concept.divine_law,Divine Law,law_type,registry,pilot_registry_seed,
concept.end,End,end,registry,st.i-ii.q001,
concept.eternal_law,Eternal Law,law_type,registry,st.i-ii.q071,
concept.eternal_life,Eternal Life,end,registry,st.i-ii.q109,
concept.faith,Faith,virtue,registry,st.ii-ii.q001,
concept.false_prudence,False Prudence,vice,registry,st.ii-ii.q047,Keep distinct from Prudence of the Flesh when both are named.
concept.fear,Fear,passion,registry,pilot_registry_seed,
concept.first_truth,First Truth,object,registry,st.ii-ii.q001,
concept.form_of_virtues,Form of the Virtues,doctrine,registry,st.ii-ii.q023,
concept.friendship_with_god,Friendship with God,doctrine,registry,st.ii-ii.q023,
concept.fruition,Fruition,act_type,registry,pilot_registry_seed,
concept.future_contingents,Future Contingents,object,registry,st.ii-ii.q171,
concept.general_justice,General Justice,virtue,registry,st.ii-ii.q058,
concept.gift_holy_spirit,Gift of the Holy Spirit,gift_holy_spirit,registry,pilot_registry_seed,
concept.grace,Grace,grace,registry,st.i-ii.q109,Generic grace remains distinct from operating and cooperating grace unless the text names the subtype.
concept.habit,Habit,habit,registry,st.i-ii.q055,
concept.hatred,Hatred,passion,registry,pilot_registry_seed,
concept.hope,Hope (Passion),passion,registry,pilot_registry_seed,
concept.human_act,Human Act,act_type,registry,,
concept.human_law,Human Law,law_type,registry,pilot_registry_seed,
concept.intellectual_appetite,Intellectual Appetite,faculty,registry,st.i-ii.q022,
concept.intention,Intention,act_type,registry,pilot_registry_seed,
