node_id,label,node_type,registry_status,description,notes
concept.accuser_role,Accuser,role,reviewed_seed,The prosecuting role in a criminal accusation.,Role-level concept only; do not instantiate individual accusers.
concept.advocate_role,Advocate,role,reviewed_seed,The role of legal counsel who defends a party in court.,Role-level concept only; do not instantiate individual advocates.
concept.anger,Anger,passion,reviewed_seed,Passion of the irascible appetite concerning injury and vindication.,
concept.assault,Assault or Blows,wrong_act,reviewed_seed,Injury to the body by blows that inflict pain without destroying the member.,
concept.backbiting,Backbiting,wrong_act,reviewed_seed,Secret verbal injury that blackens a person's good name.,
concept.bodily_integrity,Bodily Integrity,domain,reviewed_seed,The wholeness of the body harmed by maiming and bodily assault.,
concept.calumnious_defense,Calumnious Defense,wrong_act,reviewed_seed,A defense that uses falsehood or calumny rather than truth.,
concept.charity,Charity,virtue,reviewed_seed,Theological virtue of friendship with God.,Do not auto-normalize bare 'love' to charity outside clearly theological context.
concept.cheating,Cheating in Exchange,wrong_act,reviewed_seed,Fraudulent or unequal exchange in buying and selling.,
concept.common_good,Common Good,end,reviewed_seed,Good of the whole community rather than of a private individual alone.,
concept.commutative_justice,Commutative Justice,virtue,reviewed_seed,The species of particular justice concerned with equality in exchanges between persons.,
concept.cursing,Cursing,wrong_act,reviewed_seed,Speaking evil of another by way of command or desire.,
concept.defendant_role,Defendant,role,reviewed_seed,The role of the accused person in judicial proceedings.,Role-level concept only; do not instantiate individual defendants.
concept.derision,Derision,wrong_act,reviewed_seed,Injury by jest or mockery directed to another's shame.,
concept.dishonest_advocacy,Dishonest Advocacy,wrong_act,reviewed_seed,Advocacy that knowingly assists an unjust cause.,
concept.distributive_justice,Distributive Justice,virtue,reviewed_seed,The species of particular justice concerned with proportional distributions from the whole to its parts.,
concept.dominion_right,Right of Dominion,object,reviewed_seed,A species of right arising from ownership or lordship.,
concept.extortionate_advocacy,Extortionate Advocacy,wrong_act,reviewed_seed,The unjust exaction of an immoderate fee by an advocate.,
concept.fairness_in_distribution,Fairness in Distribution,domain,reviewed_seed,The proportional equality proper to distributive justice.,
concept.fairness_in_exchange,Fairness in Exchange,domain,reviewed_seed,The equality proper to commutative justice and market exchange.,
concept.false_accusation,False Accusation,wrong_act,reviewed_seed,An accusation that wrongfully injures the accused and the common good.,
concept.false_witness,False Witness,wrong_act,reviewed_seed,False testimony given under oath in a judicial matter.,
concept.friendship,Friendship,domain,reviewed_seed,The social bond chiefly injured by tale-bearing.,
concept.general_justice,General Justice,virtue,reviewed_seed,Justice directing acts of virtue to the common good.,
concept.honor,Honor,domain,reviewed_seed,The social good openly injured by reviling and derision.,
concept.injustice,Injustice,vice,seed,Vice opposed to justice.,
concept.judge_role,Judge,role,reviewed_seed,The judicial role empowered to pronounce sentence publicly.,Role-level concept only; do not instantiate individual judges.
concept.judgment,Judgment,act_type,reviewed_seed,The act of determining what is just in a case.,
concept.judicial_process,Judicial Process,process,reviewed_seed,"The public legal procedure within which judgment, accusation, testimony, and defense occur.",
concept.just_price,Just Price,doctrine,reviewed_seed,The equality of value that should govern buying and selling.,
concept.justice,Justice,virtue,reviewed_seed,Moral virtue rendering acts and agents right in relation to another.,
concept.law,Law,law,reviewed_seed,Law as ordinance of reason for the common good.,Generic law is kept distinct from named law-types unless the text is explicit.
concept.life,Life,domain,reviewed_seed,The domain of bodily life harmed by unjust killing.,
concept.maiming,Maiming,wrong_act,reviewed_seed,Injury that destroys bodily integrity by depriving a member.,
concept.natural_right,Natural Right,object,reviewed_seed,Right grounded in the nature of the thing and not merely in human enactment.,
concept.omission,Omission,sin_type,reviewed_seed,Sin by failing to do a due good.,
concept.particular_justice,Particular Justice,virtue,reviewed_seed,Justice directing a person in relation to other individuals.,
concept.paternal_right,Paternal Right,object,reviewed_seed,A species of right reflecting a father's relation to what belongs to the household.,
concept.personal_liberty,Personal Liberty,domain,reviewed_seed,The domain harmed by unjust detention or imprisonment.,
concept.positive_right,Positive Right,object,reviewed_seed,"Right arising from human agreement, enactment, or institution.",
concept.private_execution,Private Execution,wrong_act,reviewed_seed,The wrongful private taking of punitive killing into one's own hands.,
concept.property,Property,domain,reviewed_seed,The domain of possession and external goods harmed by theft and robbery.,
concept.public_execution,Public Execution of Evildoers,act_type,reviewed_seed,The punitive killing Aquinas treats as belonging to public authority for the common good.,
concept.rash_judgment,Rash Judgment,wrong_act,reviewed_seed,Judgment rendered from insufficient signs or suspicion rather than due certitude.,
concept.rendering_due,Rendering Due,act_type,reviewed_seed,Proper act of justice in giving each one what is due.,
concept.reputation,Reputation,domain,reviewed_seed,The good name secretly injured by backbiting.,
concept.respect_of_persons,Respect of Persons,sin_type,reviewed_seed,"Preference given to persons on irrelevant grounds, contrary to distributive justice.",
concept.restitution,Restitution,act_type,reviewed_seed,The act by which commutative equality is re-established through restoration.,
concept.reviling,Reviling,wrong_act,reviewed_seed,Verbal injury that dishonors another openly.,
concept.right,Right,object,reviewed_seed,The just or right thing that stands as the object of justice.,Keep this juridical sense distinct from moral uprightness in general.
concept.right_of_nations,Right of Nations,object,reviewed_seed,The right common among peoples and treated by Aquinas in relation to natural and positive right.,
concept.robbery,Robbery,wrong_act,reviewed_seed,The violent taking of another's property.,
concept.suicide,Suicide,wrong_act,reviewed_seed,"The killing of oneself, treated as contrary to self-love, the community, and God.",
concept.tale_bearing,Tale-Bearing,wrong_act,reviewed_seed,Secret evil-speaking ordered chiefly to the breaking of friendship.,
concept.theft,Theft,wrong_act,reviewed_seed,The secret taking of another's property against the order of justice.,
concept.transgression,Transgression,sin_type,reviewed_seed,Sin by stepping beyond the affirmative or negative rule of a precept.,
concept.truth_in_legal_proceedings,Truth in Legal Proceedings,domain,reviewed_seed,"The truthful order on which just accusation, testimony, and defense depend.",
concept.unjust_appeal,Unjust Appeal,wrong_act,reviewed_seed,"An appeal made not from injustice suffered, but to delay or evade a just sentence.",
concept.unjust_detention,Unjust Detention,wrong_act,reviewed_seed,The unjust restraint of a person's freedom of movement.,
concept.unjust_judgment,Unjust Judgment,wrong_act,reviewed_seed,A perversion of judgment that fails the order of justice.,
concept.unjust_killing,Unjust Killing,wrong_act,reviewed_seed,The unjust taking of innocent human life.,
concept.usurped_judgment,Usurped Judgment,wrong_act,reviewed_seed,Judgment wrongfully assumed by one who lacks the proper authority.,
concept.usury,Usury,wrong_act,reviewed_seed,Taking payment for the use of money lent in a way Aquinas judges intrinsically unjust.,
concept.virtue,Virtue,virtue,reviewed_seed,Generic virtue as good operative perfection.,Do not collapse generic virtue into a specific virtue without explicit passage support.
concept.will,Will,faculty,reviewed_seed,The rational appetite and proximate principle of commanded human action.,
concept.witness_role,Witness,role,reviewed_seed,The role of one who gives evidence in a judicial matter.,Role-level concept only; do not instantiate individual witnesses.
st.ii-ii.q057,II-II q.57 — Right,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q058,II-II q.58 — Justice,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q059,II-II q.59 — Injustice,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q060,II-II q.60 — Judgment,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q061,II-II q.61 — The parts of Justice,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q062,II-II q.62 — Restitution,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q063,II-II q.63 — Respect of persons,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q064,II-II q.64 — Murder,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q065,II-II q.65 — Other injuries committed on the person,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q066,II-II q.66 — Theft and robbery,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q067,"II-II q.67 — The injustice of a judge, in judging",question,structural,Structural question node for the justice core tract.,
st.ii-ii.q068,II-II q.68 — Matters concerning unjust accusation,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q069,II-II q.69 — Sins committed against justice: of the part of the defendant,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q070,II-II q.70 — Injustice with regard to the person of the witness,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q071,II-II q.71 — Injustice in judgment: the part of counsel,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q072,II-II q.72 — Reviling,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q073,II-II q.73 — Backbiting,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q074,II-II q.74 — Tale-bearing,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q075,II-II q.75 — Derision,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q076,II-II q.76 — Cursing,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q077,"II-II q.77 — Cheating, which is committed in buying and selling",question,structural,Structural question node for the justice core tract.,
st.ii-ii.q078,II-II q.78 — The sin of usury,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q079,II-II q.79 — The quasi-integral parts of Justice,question,structural,Structural question node for the justice core tract.,
st.ii-ii.q057.a001,II-II q.57 a.1 — Is right the object of justice?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q057.a002,II-II q.57 a.2 — Is right fittingly divided into natural and positive right?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q057.a003,II-II q.57 a.3 — Is the right of nations the same as natural right?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q057.a004,II-II q.57 a.4 — Are right of dominion and paternal right distinct species?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a001,II-II q.58 a.1 — What is justice?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a002,II-II q.58 a.2 — Is justice always towards another?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a003,II-II q.58 a.3 — Is it a virtue?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a004,II-II q.58 a.4 — Is it in the will as its subject?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a005,II-II q.58 a.5 — Is it a general virtue?,article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a006,"II-II q.58 a.6 — As a general virtue, is it essentially the same as every virtue?",article,structural,Structural article node for the justice core tract.,
st.ii-ii.q058.a007,II-II q.58 a.7 — Is there a particular justice?,article,structural,Structural article node for the justice core tract.,
